time_ms,ax,ay,az,gx,gy,gz,label
20,-0.57,0.74,-0.32,-4.21,4.82,2.62,laying
46,-0.57,0.73,-0.33,-4.03,-10.01,2.75,laying
73,-0.57,0.72,-0.33,-9.34,-7.02,3.36,laying
99,-0.58,0.72,-0.36,-9.03,-10.19,3.42,laying
125,-0.57,0.73,-0.37,-8.42,-13.98,1.77,laying
151,-0.57,0.72,-0.39,-8.42,-17.27,-0.61,laying
178,-0.57,0.73,-0.4,-6.9,-18.01,-2.56,laying
205,-0.57,0.74,-0.41,-1.65,-14.71,-2.56,laying
232,-0.57,0.74,-0.41,-2.14,-11.11,-1.95,laying
258,-0.58,0.75,-0.43,-3.48,-9.52,-0.85,laying
285,-0.57,0.75,-0.44,-3.97,-7.57,-0.85,laying
311,-0.56,0.74,-0.44,-2.87,-5.19,-0.67,laying
337,-0.55,0.73,-0.44,-1.59,-2.14,0.31,laying
363,-0.54,0.72,-0.43,0.79,-0.18,1.77,laying
390,-0.55,0.72,-0.43,2.2,0.49,2.56,laying
417,-0.56,0.73,-0.44,3.3,1.28,2.69,laying
444,-0.56,0.74,-0.44,4.21,2.69,2.87,laying
471,-0.57,0.74,-0.44,3.97,3.48,2.93,laying
497,-0.57,0.73,-0.43,4.27,4.15,2.26,laying
523,-0.56,0.72,-0.42,3.97,4.39,1.59,laying
549,-0.55,0.71,-0.4,3.48,3.72,1.83,laying
575,-0.55,0.71,-0.4,2.87,2.5,1.83,laying
601,-0.55,0.71,-0.4,2.62,1.16,2.08,laying
627,-0.55,0.71,-0.41,2.87,-0.49,1.53,laying
653,-0.56,0.72,-0.41,2.75,-1.77,0.49,laying
679,-0.56,0.72,-0.41,2.44,-3.42,-0.37,laying
705,-0.56,0.73,-0.42,1.59,-4.7,-1.22,laying
732,-0.56,0.73,-0.42,0.49,-5.43,-1.89,laying
759,-0.56,0.73,-0.43,-0.31,-6.35,-2.2,laying
785,-0.56,0.73,-0.43,-1.46,-6.47,-2.14,laying
811,-0.55,0.73,-0.43,-2.69,-6.96,-1.89,laying
838,-0.55,0.72,-0.44,-4.58,-8.42,-1.89,laying
865,-0.54,0.72,-0.45,-5.55,-8.67,-1.95,laying
892,-0.54,0.71,-0.45,-4.39,-7.81,-1.89,laying
919,-0.53,0.71,-0.45,-2.44,-6.35,-2.08,laying
946,-0.53,0.71,-0.46,0.24,-5.19,-2.01,laying
972,-0.53,0.72,-0.47,1.83,-4.33,-2.08,laying
998,-0.54,0.73,-0.47,1.89,-3.72,-1.95,laying
1025,-0.54,0.74,-0.47,1.16,-3.17,-1.16,laying
1051,-0.54,0.74,-0.47,0.67,-2.69,-0.31,laying
1077,-0.53,0.73,-0.47,0.61,-1.77,0.37,laying
1104,-0.53,0.72,-0.47,1.34,-1.1,1.04,laying
1131,-0.52,0.72,-0.47,1.71,-0.61,1.53,laying
1157,-0.52,0.72,-0.47,2.32,-0.24,1.4,laying
1183,-0.52,0.72,-0.46,2.56,-0.24,1.28,laying
1210,-0.53,0.72,-0.47,2.87,0.18,0.98,laying
1236,-0.53,0.72,-0.46,3.11,0.24,0.92,laying
1262,-0.53,0.72,-0.46,3.11,-0.06,0.79,laying
1289,-0.53,0.72,-0.47,2.99,0.06,0.98,laying
1315,-0.53,0.73,-0.47,2.87,-0.18,1.04,laying
1342,-0.53,0.72,-0.47,2.69,0.12,0.98,laying
1368,-0.53,0.72,-0.46,2.87,-0.18,0.92,laying
1394,-0.53,0.72,-0.46,2.69,-0.31,0.79,laying
1420,-0.53,0.72,-0.46,2.69,-0.24,0.67,laying
1446,-0.52,0.72,-0.46,2.99,-0.37,0.61,laying
1472,-0.52,0.72,-0.46,2.87,-0.61,0.73,laying
1498,-0.53,0.72,-0.46,2.62,-0.73,0.67,laying
1524,-0.53,0.72,-0.46,2.69,-0.85,0.98,laying
1550,-0.53,0.72,-0.47,2.26,-1.04,0.98,laying
1576,-0.53,0.72,-0.47,2.14,-0.98,1.1,laying
1602,-0.53,0.72,-0.47,1.95,-1.1,0.85,laying
1628,-0.53,0.72,-0.47,2.08,-0.92,0.79,laying
1654,-0.53,0.72,-0.47,1.89,-1.04,0.73,laying
1680,-0.53,0.72,-0.47,2.14,-0.98,0.79,laying
1706,-0.53,0.72,-0.47,2.44,-0.92,0.67,laying
1732,-0.53,0.72,-0.47,2.56,-1.04,0.49,laying
1758,-0.53,0.72,-0.47,2.69,-1.04,0.37,laying
1784,-0.52,0.72,-0.47,2.75,-0.92,0.37,laying
1810,-0.53,0.72,-0.47,2.81,-0.43,0.73,laying
1836,-0.53,0.72,-0.47,2.99,0.0,0.85,laying
1862,-0.53,0.72,-0.47,2.87,0.0,1.1,laying
1888,-0.53,0.72,-0.47,2.62,-0.06,1.16,laying
1914,-0.53,0.72,-0.47,2.62,-0.18,1.22,laying
1941,-0.53,0.72,-0.46,2.62,-0.24,1.28,laying
1967,-0.53,0.72,-0.46,2.62,-0.18,1.34,laying
1993,-0.53,0.72,-0.46,2.75,-0.24,1.16,laying
2019,-0.53,0.72,-0.46,2.81,-0.37,0.79,laying
2046,-0.53,0.72,-0.46,2.87,-0.43,0.92,laying
2073,-0.53,0.72,-0.47,2.93,-0.55,0.67,laying
2099,-0.53,0.72,-0.47,2.75,-0.61,0.55,laying
2125,-0.53,0.72,-0.46,2.56,-0.73,0.73,laying
2151,-0.52,0.72,-0.46,2.5,-0.79,0.73,laying
2177,-0.52,0.72,-0.46,2.38,-0.55,0.85,laying
2203,-0.53,0.72,-0.47,2.32,-0.73,0.92,laying
2229,-0.53,0.72,-0.47,2.44,-0.79,0.92,laying
2255,-0.53,0.72,-0.47,2.38,-0.92,0.92,laying
2282,-0.53,0.72,-0.47,2.44,-0.85,0.79,laying
2308,-0.53,0.72,-0.47,2.62,-0.61,0.85,laying
2334,-0.53,0.72,-0.47,2.5,-0.49,0.98,laying
2360,-0.53,0.72,-0.47,2.56,-0.55,0.92,laying
2386,-0.53,0.72,-0.47,2.69,-0.61,0.92,laying
2413,-0.53,0.72,-0.47,2.62,-0.67,0.67,laying
2440,-0.53,0.72,-0.47,2.56,-0.61,0.49,laying
2466,-0.52,0.72,-0.47,2.56,-0.98,0.43,laying
2493,-0.53,0.72,-0.47,2.2,-0.73,0.67,laying
2520,-0.52,0.72,-0.47,2.5,-0.92,0.73,laying
2546,-0.53,0.72,-0.47,2.38,-0.61,0.85,laying
2573,-0.53,0.72,-0.47,2.56,-0.67,0.79,laying
2600,-0.53,0.72,-0.47,2.38,-0.55,0.98,laying
2627,-0.53,0.72,-0.47,2.56,-0.49,0.98,laying
2653,-0.53,0.72,-0.47,2.5,-0.31,1.04,laying
2680,-0.53,0.72,-0.47,2.56,-0.31,0.73,laying
2706,-0.53,0.72,-0.47,2.56,-0.37,0.85,laying
2732,-0.53,0.72,-0.47,2.5,-0.43,0.67,laying
2758,-0.53,0.72,-0.47,2.56,-0.55,0.67,laying
2784,-0.53,0.72,-0.47,2.62,-0.67,0.67,laying
2810,-0.53,0.72,-0.47,2.69,-0.67,0.55,laying
2836,-0.53,0.72,-0.47,2.75,-0.67,0.55,laying
2862,-0.53,0.72,-0.47,2.93,-0.61,0.61,laying
2888,-0.52,0.72,-0.47,2.81,-0.85,0.67,laying
2914,-0.53,0.72,-0.47,2.62,-0.67,0.73,laying
2940,-0.53,0.72,-0.47,2.69,-0.18,0.85,laying
2966,-0.53,0.72,-0.47,2.81,-0.12,0.92,laying
2992,-0.53,0.72,-0.47,2.62,-0.18,0.92,laying
3018,-0.53,0.72,-0.47,2.5,-0.24,1.1,laying
3044,-0.52,0.72,-0.47,2.5,-0.37,1.16,laying
3070,-0.53,0.72,-0.47,2.38,-0.43,1.04,laying
3096,-0.52,0.71,-0.46,2.69,-0.61,0.98,laying
3122,-0.53,0.72,-0.47,2.87,-0.73,0.61,laying
3148,-0.53,0.72,-0.47,2.75,-0.61,0.61,laying
3174,-0.53,0.72,-0.47,2.81,-0.92,0.67,laying
3200,-0.52,0.72,-0.47,2.87,-0.79,0.55,laying
3226,-0.53,0.72,-0.47,2.81,-0.55,0.49,laying
3253,-0.53,0.72,-0.47,2.87,-0.43,0.55,laying
3279,-0.53,0.72,-0.47,2.5,-0.85,0.49,laying
3305,-0.53,0.72,-0.47,2.44,-0.73,0.85,laying
3332,-0.53,0.72,-0.47,2.38,-0.85,0.79,laying
3359,-0.52,0.72,-0.47,2.44,-0.67,0.92,laying
3386,-0.53,0.72,-0.47,2.69,-0.43,1.1,laying
3412,-0.52,0.72,-0.47,2.81,-0.37,0.73,laying
3438,-0.53,0.72,-0.47,2.81,-0.49,0.85,laying
3464,-0.53,0.72,-0.47,2.93,-0.31,0.61,laying
3491,-0.53,0.72,-0.47,2.87,-0.37,0.55,laying
3518,-0.52,0.72,-0.47,2.62,-0.49,0.67,laying
3545,-0.52,0.72,-0.47,2.75,-0.43,0.73,laying
3572,-0.52,0.72,-0.47,2.69,-0.43,0.73,laying
3599,-0.52,0.72,-0.47,2.81,-0.55,0.61,laying
3626,-0.53,0.72,-0.47,2.75,-0.37,0.79,laying
3653,-0.53,0.72,-0.47,2.81,-0.73,0.85,laying
3679,-0.53,0.72,-0.47,2.62,-0.55,0.73,laying
3706,-0.53,0.72,-0.47,2.56,-0.49,0.79,laying
3732,-0.53,0.72,-0.47,2.62,-0.49,0.79,laying
3758,-0.53,0.72,-0.47,2.56,-0.49,0.67,laying
3784,-0.52,0.72,-0.47,2.56,-0.55,0.79,laying
3810,-0.52,0.72,-0.47,2.56,-0.49,0.79,laying
3836,-0.53,0.72,-0.47,2.87,-0.67,0.85,laying
3862,-0.53,0.72,-0.47,2.69,-0.49,0.92,laying
3888,-0.52,0.72,-0.47,2.75,-0.85,0.79,laying
3915,-0.52,0.72,-0.47,2.56,-0.61,0.73,laying
3941,-0.52,0.72,-0.47,2.62,-0.61,0.79,laying
3968,-0.53,0.72,-0.47,2.75,-0.43,0.67,laying
3994,-0.53,0.72,-0.47,2.56,-0.55,0.61,laying
4020,-0.53,0.72,-0.47,2.62,-0.61,0.79,laying
4046,-0.53,0.72,-0.47,2.56,-0.55,0.67,laying
4072,-0.52,0.72,-0.47,2.56,-0.61,0.79,laying
4098,-0.52,0.72,-0.47,2.69,-0.49,0.85,laying
4124,-0.52,0.72,-0.47,2.81,-0.61,0.61,laying
4150,-0.52,0.72,-0.47,2.81,-0.67,0.79,laying
4176,-0.53,0.72,-0.47,2.93,-0.67,0.61,laying
4203,-0.53,0.72,-0.47,3.23,-0.37,0.55,laying
4229,-0.52,0.72,-0.47,2.87,-0.31,0.73,laying
4255,-0.52,0.72,-0.47,2.75,-0.49,0.73,laying
4281,-0.52,0.72,-0.47,2.62,-0.43,0.79,laying
4307,-0.53,0.72,-0.47,2.56,-0.49,0.92,laying
4333,-0.52,0.72,-0.47,2.44,-0.79,0.85,laying
4359,-0.52,0.72,-0.47,2.38,-0.61,0.55,laying
4386,-0.52,0.72,-0.47,2.69,-0.55,0.61,laying
4412,-0.53,0.72,-0.47,2.56,-0.73,0.61,laying
4439,-0.52,0.72,-0.47,2.81,-0.49,0.61,laying
4465,-0.52,0.72,-0.47,2.38,-0.61,0.61,laying
4491,-0.52,0.72,-0.47,2.44,-0.67,0.73,laying
4518,-0.52,0.72,-0.47,2.56,-0.67,0.73,laying
4545,-0.52,0.72,-0.47,2.5,-0.73,0.67,laying
4572,-0.52,0.72,-0.47,2.56,-0.85,0.73,laying
4598,-0.52,0.72,-0.47,2.56,-0.79,0.61,laying
4625,-0.53,0.72,-0.47,2.62,-0.73,0.61,laying
4652,-0.52,0.72,-0.47,2.56,-0.79,0.55,laying
4678,-0.52,0.72,-0.47,2.69,-0.55,0.73,laying
4704,-0.52,0.72,-0.47,2.69,-0.49,0.61,laying
4730,-0.52,0.72,-0.47,2.75,-0.61,0.73,laying
4756,-0.53,0.72,-0.47,2.75,-0.49,0.73,laying
4783,-0.53,0.72,-0.47,2.56,-0.43,1.04,laying
4809,-0.52,0.72,-0.47,2.62,-0.24,0.98,laying
4836,-0.52,0.72,-0.47,2.69,-0.37,0.98,laying
4862,-0.52,0.72,-0.47,2.75,-0.43,0.85,laying
4889,-0.52,0.72,-0.47,2.93,-0.43,0.73,laying
4916,-0.52,0.72,-0.47,2.99,-0.31,0.61,laying
4942,-0.52,0.72,-0.47,2.81,-0.55,0.61,laying
4969,-0.52,0.72,-0.47,2.69,-0.55,0.73,laying
4995,-0.52,0.72,-0.47,2.62,-0.49,0.85,laying
5021,-0.52,0.72,-0.47,2.56,-0.67,1.04,laying
5048,-0.52,0.72,-0.47,2.69,-0.55,1.04,laying
5075,-0.52,0.72,-0.47,2.5,-0.61,0.98,laying
5102,-0.52,0.72,-0.47,2.5,-0.73,0.73,laying
5129,-0.52,0.72,-0.47,2.69,-0.49,0.79,laying
5156,-0.52,0.72,-0.47,2.69,-0.55,0.92,laying
5183,-0.52,0.72,-0.47,2.69,-0.43,0.67,laying
5210,-0.52,0.72,-0.47,2.81,-0.49,0.79,laying
5237,-0.52,0.72,-0.47,2.62,-0.37,0.79,laying
5264,-0.52,0.72,-0.47,2.69,-0.61,0.73,laying
5290,-0.52,0.72,-0.47,2.62,-0.73,0.73,laying
5317,-0.52,0.72,-0.47,2.38,-0.55,0.92,laying
5343,-0.53,0.72,-0.47,2.62,-0.37,1.04,laying
5370,-0.52,0.72,-0.47,2.44,-0.49,0.79,laying
5397,-0.52,0.72,-0.47,2.62,-0.43,0.92,laying
5424,-0.52,0.72,-0.47,2.62,-0.37,1.04,laying
5450,-0.52,0.72,-0.47,2.81,-0.49,0.92,laying
5476,-0.53,0.72,-0.47,2.75,-0.37,0.92,laying
5503,-0.53,0.72,-0.47,2.75,-0.49,0.98,laying
5529,-0.53,0.72,-0.47,2.5,-0.55,0.85,laying
5556,-0.52,0.72,-0.47,2.56,-0.37,0.79,laying
5583,-0.52,0.72,-0.47,2.69,-0.61,0.85,laying
5610,-0.52,0.72,-0.47,2.93,-0.55,0.67,laying
5637,-0.52,0.72,-0.47,2.81,-0.61,0.37,laying
5663,-0.52,0.72,-0.47,2.75,-0.67,0.49,laying
5689,-0.52,0.72,-0.47,2.62,-0.73,0.67,laying
5716,-0.53,0.72,-0.47,2.62,-0.61,0.61,laying
5742,-0.52,0.72,-0.47,2.56,-0.61,0.79,laying
5768,-0.52,0.72,-0.47,2.62,-0.55,0.92,laying
5794,-0.52,0.72,-0.47,2.5,-0.49,0.92,laying
5820,-0.52,0.72,-0.47,2.62,-0.55,0.79,laying
5847,-0.52,0.72,-0.47,2.62,-0.55,0.79,laying
5874,-0.52,0.72,-0.47,2.62,-0.43,0.85,laying
5900,-0.52,0.72,-0.47,2.62,-0.55,0.55,laying
5927,-0.52,0.72,-0.47,2.69,-0.43,0.98,laying
5954,-0.52,0.72,-0.47,2.87,-0.61,0.85,laying
5981,-0.52,0.72,-0.47,2.87,-0.55,0.67,laying
6008,-0.52,0.72,-0.47,2.69,-0.37,0.73,laying
6035,-0.52,0.72,-0.47,2.87,-0.49,0.79,laying
6062,-0.52,0.72,-0.47,2.62,-0.55,0.61,laying
6089,-0.53,0.72,-0.47,2.75,-0.43,0.85,laying
6115,-0.52,0.72,-0.47,2.56,-0.67,0.67,laying
6142,-0.52,0.72,-0.47,2.75,-0.61,0.85,laying
6169,-0.52,0.72,-0.47,2.62,-0.43,0.67,laying
6195,-0.52,0.72,-0.47,2.75,-0.61,0.67,laying
6221,-0.52,0.72,-0.47,2.38,-0.85,0.73,laying
6247,-0.52,0.72,-0.47,2.56,-0.85,0.73,laying
6274,-0.52,0.72,-0.47,2.38,-0.98,0.73,laying
6301,-0.52,0.72,-0.47,2.5,-0.92,0.67,laying
6328,-0.52,0.72,-0.47,2.38,-0.67,0.61,laying
6354,-0.52,0.72,-0.47,2.69,-0.61,0.67,laying
6381,-0.52,0.72,-0.47,2.93,-0.55,0.49,laying
6408,-0.52,0.72,-0.47,2.69,-0.67,0.67,laying
6435,-0.52,0.72,-0.47,2.5,-0.73,0.73,laying
6462,-0.52,0.72,-0.47,2.69,-0.55,0.98,laying
6489,-0.52,0.72,-0.47,2.69,-0.31,0.98,laying
6515,-0.52,0.72,-0.47,2.69,-0.37,0.73,laying
6541,-0.52,0.72,-0.47,2.75,-0.37,0.79,laying
6567,-0.52,0.72,-0.47,2.87,-0.37,0.67,laying
6593,-0.52,0.72,-0.47,2.69,-0.49,0.73,laying
6620,-0.52,0.72,-0.47,2.75,-0.37,0.85,laying
6647,-0.52,0.72,-0.47,2.87,-0.43,0.67,laying
6674,-0.52,0.72,-0.47,2.75,-0.67,0.85,laying
6701,-0.52,0.72,-0.47,2.81,-0.55,0.92,laying
6728,-0.52,0.72,-0.47,2.62,-0.67,0.73,laying
6754,-0.52,0.72,-0.47,2.56,-0.67,0.79,laying
6780,-0.52,0.72,-0.47,2.69,-0.49,0.85,laying
6806,-0.52,0.72,-0.47,2.69,-0.55,0.61,laying
6833,-0.52,0.72,-0.47,2.81,-0.55,0.92,laying
6860,-0.52,0.72,-0.47,2.87,-0.49,0.98,laying
6887,-0.52,0.72,-0.47,2.75,-0.55,0.73,laying
6914,-0.52,0.72,-0.47,2.62,-0.37,0.67,laying
6941,-0.52,0.72,-0.47,2.62,-0.67,0.73,laying
6968,-0.52,0.72,-0.47,2.5,-0.67,0.85,laying
6995,-0.52,0.72,-0.47,2.75,-0.73,0.79,laying
7022,-0.52,0.72,-0.47,2.5,-0.67,0.67,laying
7049,-0.52,0.72,-0.47,2.44,-0.73,0.79,laying
7075,-0.52,0.72,-0.47,2.62,-0.85,0.55,laying
7102,-0.52,0.72,-0.47,2.69,-0.61,0.55,laying
7129,-0.52,0.72,-0.47,2.87,-0.67,0.67,laying
7156,-0.52,0.72,-0.47,2.87,-0.61,0.61,laying
7182,-0.52,0.72,-0.47,2.69,-0.67,0.61,laying
7209,-0.52,0.72,-0.47,2.56,-0.67,0.79,laying
7236,-0.52,0.72,-0.47,2.56,-0.31,0.85,laying
7263,-0.52,0.72,-0.47,2.56,-0.31,0.85,laying
7290,-0.52,0.72,-0.47,2.56,-0.61,0.79,laying
7317,-0.52,0.72,-0.47,2.69,-0.37,0.92,laying
7344,-0.52,0.72,-0.47,2.75,-0.43,0.85,laying
7371,-0.52,0.72,-0.47,2.81,-0.49,0.73,laying
7397,-0.52,0.72,-0.47,2.62,-0.61,0.61,laying
7424,-0.52,0.72,-0.47,2.75,-0.67,0.67,laying
7451,-0.52,0.72,-0.47,2.56,-0.67,0.67,laying
7478,-0.52,0.72,-0.47,2.44,-0.67,0.55,laying
7505,-0.52,0.72,-0.47,2.44,-0.55,0.73,laying
7532,-0.52,0.72,-0.47,2.44,-0.49,0.92,laying
7559,-0.52,0.72,-0.47,2.44,-0.55,0.98,laying
7586,-0.52,0.72,-0.47,2.69,-0.49,1.04,laying
7612,-0.52,0.72,-0.47,2.69,-0.43,0.85,laying
7639,-0.52,0.72,-0.47,2.75,-0.55,0.85,laying
7666,-0.52,0.72,-0.47,2.81,-0.49,0.85,laying
7692,-0.52,0.72,-0.47,2.69,-0.49,0.67,laying
7719,-0.52,0.72,-0.47,2.69,-0.31,0.67,laying
7746,-0.52,0.72,-0.47,2.56,-0.61,0.73,laying
7772,-0.52,0.72,-0.47,2.5,-0.49,0.92,laying
7799,-0.52,0.72,-0.47,2.38,-0.55,0.67,laying
7826,-0.52,0.72,-0.47,2.38,-0.61,0.79,laying
7852,-0.52,0.72,-0.47,2.44,-0.49,0.85,laying
7878,-0.52,0.72,-0.47,2.69,-0.67,0.79,laying
7904,-0.52,0.72,-0.47,2.81,-0.55,0.67,laying
7931,-0.52,0.72,-0.47,2.87,-0.55,0.61,laying
7957,-0.52,0.72,-0.47,2.69,-0.67,0.61,laying
7983,-0.52,0.72,-0.47,2.56,-0.49,0.79,laying
8010,-0.52,0.72,-0.47,2.56,-0.49,0.98,laying
8037,-0.52,0.72,-0.47,2.62,-0.49,0.98,laying
8064,-0.52,0.72,-0.47,2.62,-0.49,0.85,laying
8090,-0.52,0.72,-0.47,2.69,-0.55,0.73,laying
8117,-0.52,0.72,-0.47,2.75,-0.37,0.92,laying
8144,-0.52,0.72,-0.47,2.69,-0.55,0.79,laying
8170,-0.52,0.72,-0.47,2.62,-0.43,0.85,laying
8197,-0.52,0.72,-0.47,2.5,-0.79,0.79,laying
8223,-0.52,0.72,-0.47,2.56,-0.43,0.79,laying
8250,-0.52,0.72,-0.47,2.69,-0.49,0.79,laying
8277,-0.52,0.72,-0.47,2.69,-0.55,0.92,laying
