time_ms,ax,ay,az,gx,gy,gz,label
20,-0.74,0.06,0.67,-14.1,28.32,5.98,laying
46,-0.75,0.07,0.67,5.92,-6.59,1.28,laying
72,-0.75,0.06,0.66,3.6,-0.31,1.77,laying
98,-0.74,0.06,0.66,3.54,-0.24,1.65,laying
124,-0.75,0.06,0.66,3.23,-0.24,1.34,laying
150,-0.74,0.06,0.66,3.11,-0.24,0.98,laying
176,-0.75,0.06,0.66,2.81,-0.43,0.79,laying
202,-0.75,0.06,0.66,2.38,-0.37,0.67,laying
228,-0.75,0.06,0.66,2.32,-0.49,0.18,laying
254,-0.75,0.06,0.66,2.01,-0.55,-0.18,laying
280,-0.74,0.06,0.66,1.89,-0.55,-0.18,laying
306,-0.74,0.07,0.66,1.59,-0.43,-0.37,laying
332,-0.74,0.07,0.66,1.83,-0.61,-0.37,laying
358,-0.74,0.07,0.66,1.77,-0.61,-0.49,laying
384,-0.74,0.07,0.66,1.95,-0.61,-0.06,laying
410,-0.74,0.07,0.66,2.2,-0.55,0.18,laying
436,-0.74,0.07,0.66,2.38,-0.55,0.67,laying
462,-0.74,0.07,0.66,2.81,-0.37,1.04,laying
488,-0.74,0.07,0.66,3.3,-0.49,1.59,laying
514,-0.74,0.07,0.66,3.48,-0.49,1.71,laying
540,-0.74,0.07,0.66,3.42,-0.43,1.59,laying
567,-0.74,0.07,0.66,3.54,-0.37,1.59,laying
593,-0.74,0.07,0.66,3.54,-0.24,1.53,laying
620,-0.74,0.06,0.66,3.36,-0.37,1.53,laying
646,-0.74,0.06,0.66,3.17,-0.55,1.59,laying
672,-0.75,0.06,0.67,2.93,-0.49,1.28,laying
699,-0.75,0.06,0.67,2.87,-0.55,1.16,laying
725,-0.75,0.06,0.66,2.56,-0.73,0.67,laying
751,-0.75,0.06,0.67,2.26,-0.55,0.37,laying
778,-0.75,0.06,0.66,2.01,-0.55,-0.12,laying
805,-0.74,0.07,0.66,1.89,-0.37,0.12,laying
832,-0.74,0.07,0.66,2.01,-0.37,0.18,laying
858,-0.74,0.07,0.66,2.32,-0.37,0.24,laying
885,-0.74,0.07,0.66,2.44,-0.55,0.49,laying
911,-0.74,0.07,0.66,2.38,-0.61,0.31,laying
937,-0.74,0.07,0.66,2.5,-0.49,0.55,laying
963,-0.74,0.07,0.66,2.81,-0.73,0.73,laying
989,-0.74,0.07,0.66,2.87,-0.43,0.98,laying
1016,-0.74,0.07,0.66,2.81,-0.49,0.92,laying
1043,-0.75,0.07,0.66,2.69,-0.55,0.85,laying
1069,-0.74,0.07,0.66,2.75,-0.37,0.73,laying
1096,-0.74,0.07,0.66,2.75,-0.55,0.67,laying
1122,-0.74,0.07,0.66,2.62,-0.73,0.98,laying
1149,-0.74,0.07,0.66,2.69,-0.55,0.79,laying
1175,-0.74,0.07,0.66,2.81,-0.49,1.1,laying
1201,-0.74,0.07,0.66,2.87,-0.43,0.79,laying
1228,-0.74,0.07,0.67,2.75,-0.55,1.16,laying
1254,-0.75,0.06,0.66,2.87,-0.61,1.04,laying
1280,-0.75,0.07,0.67,2.99,-0.61,1.22,laying
1307,-0.75,0.07,0.67,2.69,-0.43,0.61,laying
1333,-0.75,0.07,0.66,2.75,-0.31,0.67,laying
1359,-0.74,0.07,0.66,2.44,-0.31,0.43,laying
1385,-0.74,0.07,0.67,2.5,-0.43,0.67,laying
1411,-0.74,0.07,0.67,2.44,-0.49,0.73,laying
1437,-0.75,0.07,0.67,2.62,-0.61,0.98,laying
1463,-0.75,0.07,0.67,2.56,-0.79,0.55,laying
1489,-0.75,0.07,0.66,2.44,-0.67,0.31,laying
1515,-0.75,0.07,0.67,2.32,-0.37,0.24,laying
1541,-0.74,0.07,0.66,2.5,-0.37,0.55,laying
1567,-0.74,0.07,0.66,2.5,-0.18,0.67,laying
1593,-0.74,0.07,0.66,2.62,-0.37,0.79,laying
1619,-0.74,0.07,0.67,2.93,-0.31,0.85,laying
1645,-0.74,0.07,0.67,2.99,-0.43,1.1,laying
1671,-0.74,0.07,0.67,2.69,-0.55,0.85,laying
1698,-0.74,0.07,0.67,2.69,-0.43,0.79,laying
1725,-0.75,0.07,0.67,2.69,-0.43,0.98,laying
1752,-0.75,0.07,0.67,2.87,-0.61,0.85,laying
1779,-0.74,0.07,0.67,2.75,-0.31,0.85,laying
1805,-0.74,0.07,0.67,2.56,-0.55,0.79,laying
1832,-0.74,0.07,0.67,2.56,-0.49,0.67,laying
1858,-0.74,0.07,0.67,2.5,-0.55,0.98,laying
1886,-0.74,0.07,0.67,2.75,-0.49,0.73,laying
1913,-0.75,0.07,0.67,2.69,-0.43,1.04,laying
1940,-0.74,0.07,0.67,2.56,-0.37,0.73,laying
1967,-0.74,0.07,0.67,2.62,-0.43,0.85,laying
1993,-0.75,0.07,0.67,2.5,-0.55,0.79,laying
2020,-0.75,0.07,0.67,2.38,-0.67,0.55,laying
2046,-0.75,0.07,0.67,2.26,-0.79,0.85,laying
2072,-0.75,0.07,0.67,2.44,-0.43,0.73,laying
2099,-0.74,0.07,0.67,2.62,-0.37,0.85,laying
2125,-0.74,0.07,0.67,2.38,-0.55,0.55,laying
2151,-0.74,0.07,0.67,2.38,-0.37,0.67,laying
2178,-0.75,0.07,0.67,2.32,-0.67,0.73,laying
2205,-0.75,0.07,0.67,2.26,-0.61,0.67,laying
2232,-0.75,0.07,0.67,2.5,-0.43,0.79,laying
2258,-0.74,0.07,0.67,2.62,-0.67,0.67,laying
2284,-0.74,0.07,0.67,2.87,-0.18,0.55,laying
2311,-0.74,0.07,0.67,2.99,-0.18,0.55,laying
2337,-0.74,0.07,0.67,3.05,-0.43,0.79,laying
2363,-0.74,0.07,0.67,3.05,-0.31,0.79,laying
2389,-0.74,0.07,0.67,3.11,-0.37,0.73,laying
2415,-0.74,0.07,0.67,3.36,-0.24,0.85,laying
2441,-0.74,0.07,0.67,3.36,-0.24,1.71,laying
2467,-0.74,0.07,0.67,4.03,-0.24,1.77,laying
2493,-0.74,0.07,0.67,3.48,-0.37,1.71,laying
2520,-0.75,0.07,0.67,2.81,-0.49,1.28,laying
2546,-0.75,0.07,0.67,2.32,-0.79,0.73,laying
2572,-0.75,0.07,0.67,1.71,-0.55,0.18,laying
2598,-0.75,0.07,0.67,1.59,-0.73,-0.12,laying
2625,-0.75,0.07,0.67,2.01,-0.61,-0.24,laying
2651,-0.74,0.07,0.66,2.56,-0.31,0.12,laying
2678,-0.74,0.07,0.67,2.87,-0.18,0.55,laying
2704,-0.74,0.07,0.67,2.93,-0.18,0.92,laying
2730,-0.74,0.07,0.67,2.93,-0.43,1.16,laying
2756,-0.75,0.07,0.67,2.99,-0.31,1.22,laying
2782,-0.75,0.07,0.67,2.81,-0.49,0.92,laying
2808,-0.75,0.07,0.67,2.44,-0.61,0.43,laying
2834,-0.74,0.07,0.67,2.5,-0.43,0.18,laying
2860,-0.74,0.07,0.67,2.69,-0.24,0.79,laying
2886,-0.74,0.07,0.67,2.87,-0.24,0.92,laying
2912,-0.74,0.07,0.67,2.87,-0.61,1.1,laying
2938,-0.75,0.07,0.67,2.99,-0.67,1.34,laying
2964,-0.75,0.07,0.67,2.93,-0.73,1.28,laying
2993,-0.75,0.07,0.67,2.93,-0.67,0.98,laying
3022,-0.75,0.07,0.67,2.69,-0.55,0.73,laying
3050,-0.74,0.07,0.67,2.75,-0.43,0.92,laying
3079,-0.74,0.07,0.67,2.75,-0.31,0.79,laying
3108,-0.74,0.07,0.67,2.99,-0.37,0.98,laying
3136,-0.74,0.07,0.67,3.11,-0.43,1.22,laying
3164,-0.74,0.07,0.67,2.99,-0.37,1.1,laying
3192,-0.74,0.07,0.67,2.93,-0.67,0.92,laying
3220,-0.75,0.07,0.67,2.75,-0.55,0.73,laying
3249,-0.75,0.07,0.67,2.5,-0.49,0.55,laying
3277,-0.75,0.07,0.67,2.44,-0.73,0.61,laying
3305,-0.75,0.07,0.67,2.5,-0.49,0.49,laying
3332,-0.74,0.07,0.67,2.44,-0.49,0.31,laying
3358,-0.74,0.07,0.67,2.69,-0.61,0.61,laying
3384,-0.74,0.07,0.67,2.69,-0.49,0.79,laying
3410,-0.74,0.07,0.67,2.69,-0.55,0.85,laying
3436,-0.74,0.07,0.67,2.75,-0.31,1.16,laying
3462,-0.74,0.07,0.67,2.75,-0.43,0.85,laying
3488,-0.74,0.07,0.67,2.75,-0.55,0.85,laying
3514,-0.75,0.07,0.67,2.81,-0.37,1.04,laying
3541,-0.75,0.07,0.67,2.87,-0.43,1.16,laying
3568,-0.75,0.07,0.67,2.99,-0.49,0.92,laying
3594,-0.74,0.07,0.67,2.81,-0.61,0.73,laying
3621,-0.74,0.07,0.67,2.81,-0.24,0.92,laying
3648,-0.74,0.07,0.67,2.81,-0.55,0.67,laying
3674,-0.74,0.07,0.67,2.56,-0.67,0.79,laying
3700,-0.75,0.07,0.67,2.26,-0.73,0.67,laying
3727,-0.74,0.07,0.67,2.5,-0.73,0.67,laying
3756,-0.75,0.07,0.67,2.44,-0.73,0.55,laying
3783,-0.75,0.07,0.67,2.44,-0.73,0.55,laying
3811,-0.75,0.07,0.67,2.69,-0.55,0.61,laying
3839,-0.74,0.07,0.67,2.69,-0.24,0.67,laying
3867,-0.74,0.07,0.67,2.56,-0.18,0.61,laying
3895,-0.74,0.07,0.67,2.75,-0.37,1.1,laying
3923,-0.75,0.07,0.67,2.81,-0.55,1.1,laying
3951,-0.75,0.07,0.67,2.93,-0.79,0.92,laying
3978,-0.74,0.07,0.67,2.87,-0.55,0.98,laying
4004,-0.75,0.07,0.67,2.87,-0.67,0.73,laying
4030,-0.75,0.07,0.67,2.69,-0.61,0.92,laying
4056,-0.75,0.07,0.67,2.81,-0.43,0.85,laying
4082,-0.75,0.07,0.67,2.69,-0.37,0.98,laying
4108,-0.74,0.07,0.67,2.69,-0.37,0.55,laying
4134,-0.75,0.07,0.67,2.62,-0.49,0.61,laying
4160,-0.75,0.07,0.67,2.87,-0.43,1.1,laying
4186,-0.75,0.07,0.67,2.69,-0.67,0.85,laying
4212,-0.75,0.07,0.67,2.87,-0.31,0.85,laying
4238,-0.75,0.07,0.67,2.75,-0.43,0.73,laying
4264,-0.75,0.07,0.67,2.75,-0.43,0.73,laying
4290,-0.75,0.07,0.67,2.75,-0.43,0.98,laying
4316,-0.75,0.07,0.67,2.69,-0.43,0.98,laying
4343,-0.75,0.07,0.67,2.56,-0.49,0.55,laying
4369,-0.74,0.07,0.67,2.5,-0.24,0.61,laying
4395,-0.74,0.07,0.67,2.56,-0.18,0.73,laying
4422,-0.74,0.07,0.67,2.5,-0.31,0.85,laying
4448,-0.75,0.07,0.67,2.75,-0.43,0.92,laying
4474,-0.75,0.07,0.67,2.75,-0.37,0.98,laying
4500,-0.75,0.07,0.67,2.69,-0.55,0.73,laying
4526,-0.75,0.07,0.67,2.5,-0.73,0.61,laying
4552,-0.75,0.07,0.67,2.44,-0.55,0.55,laying
4578,-0.74,0.07,0.67,2.44,-0.49,0.61,laying
4604,-0.74,0.07,0.67,2.69,-0.43,0.85,laying
4630,-0.74,0.07,0.67,2.75,-0.37,0.85,laying
4657,-0.75,0.07,0.67,2.87,-0.24,1.04,laying
4683,-0.74,0.07,0.67,2.87,-0.31,1.16,laying
4709,-0.74,0.07,0.67,2.99,-0.24,0.98,laying
4736,-0.75,0.07,0.67,2.81,-0.43,0.85,laying
4762,-0.75,0.07,0.67,2.75,-0.67,0.85,laying
4789,-0.75,0.07,0.67,2.5,-0.49,0.85,laying
4816,-0.74,0.07,0.67,2.69,-0.49,0.67,laying
4843,-0.74,0.07,0.67,2.44,-0.61,0.55,laying
4869,-0.74,0.07,0.67,2.44,-0.55,0.55,laying
4895,-0.74,0.07,0.67,2.69,-0.55,0.67,laying
4922,-0.74,0.07,0.67,2.81,-0.49,0.85,laying
4948,-0.75,0.07,0.67,2.87,-0.24,0.92,laying
4975,-0.74,0.07,0.67,2.69,-0.49,0.92,laying
5002,-0.74,0.07,0.67,2.75,-0.37,1.04,laying
5029,-0.75,0.07,0.67,2.75,-0.31,1.04,laying
5057,-0.75,0.07,0.67,2.87,-0.61,1.1,laying
5084,-0.75,0.07,0.67,2.75,-0.49,0.85,laying
5110,-0.75,0.07,0.67,2.69,-0.31,0.92,laying
5136,-0.74,0.07,0.67,2.81,-0.37,0.73,laying
5163,-0.74,0.07,0.67,2.81,-0.37,0.73,laying
5189,-0.74,0.07,0.67,2.69,-0.43,0.85,laying
5216,-0.75,0.07,0.67,2.75,-0.61,0.92,laying
5242,-0.75,0.07,0.67,2.69,-0.73,0.98,laying
5268,-0.75,0.07,0.67,2.75,-0.61,0.67,laying
5294,-0.74,0.07,0.67,2.5,-0.55,0.67,laying
5321,-0.74,0.07,0.67,2.62,-0.37,0.43,laying
5347,-0.75,0.07,0.67,2.5,-0.31,0.73,laying
5374,-0.75,0.07,0.67,2.75,-0.37,0.98,laying
5400,-0.74,0.07,0.67,2.75,-0.24,1.04,laying
5426,-0.74,0.07,0.67,2.93,-0.31,0.98,laying
5452,-0.74,0.07,0.67,2.81,-0.49,0.85,laying
5478,-0.74,0.07,0.67,2.81,-0.37,0.79,laying
5504,-0.75,0.07,0.67,2.81,-0.55,0.92,laying
5530,-0.75,0.07,0.67,2.81,-0.55,0.92,laying
5557,-0.75,0.07,0.67,2.62,-0.49,0.85,laying
5584,-0.74,0.07,0.67,2.62,-0.49,0.79,laying
5611,-0.74,0.07,0.67,2.69,-0.43,0.73,laying
5638,-0.74,0.07,0.67,2.62,-0.43,0.73,laying
5665,-0.74,0.07,0.67,2.81,-0.43,0.98,laying
5692,-0.74,0.07,0.67,2.75,-0.43,0.85,laying
5719,-0.74,0.07,0.67,2.99,-0.31,1.1,laying
