time_ms,ax,ay,az,gx,gy,gz,label
20,0.05,-0.95,0.09,9.7,-26.67,-2.38,sitting
46,0.07,-0.96,0.06,2.5,-5.07,10.99,sitting
72,0.09,-1.02,0.05,-3.11,4.27,16.66,sitting
98,0.08,-1.01,0.05,-7.75,4.15,13.31,sitting
124,0.08,-1.06,0.05,-2.44,3.91,17.21,sitting
150,0.07,-0.99,0.05,-3.91,1.34,12.76,sitting
176,0.06,-1.02,0.03,-4.39,0.92,9.95,sitting
202,0.06,-1.04,0.02,-2.14,1.83,11.66,sitting
228,0.05,-1.02,0.01,-2.93,1.16,9.52,sitting
254,0.08,-1.0,0.04,-3.54,-0.73,8.85,sitting
280,0.08,-1.0,0.06,-5.19,-1.04,6.35,sitting
306,0.09,-1.0,0.05,-3.3,-0.92,3.85,sitting
332,0.1,-1.0,0.09,-6.59,-1.71,2.14,sitting
358,0.1,-1.0,0.1,-6.35,-2.75,3.17,sitting
385,0.11,-0.99,0.11,-3.91,-2.08,3.54,sitting
412,0.12,-0.99,0.11,-1.16,-1.28,2.38,sitting
438,0.12,-0.99,0.1,2.26,-0.98,0.43,sitting
465,0.12,-0.99,0.09,0.92,-1.28,-1.04,sitting
492,0.11,-1.0,0.1,1.22,-3.42,-2.01,sitting
518,0.11,-1.0,0.1,3.91,-5.13,-4.15,sitting
544,0.1,-0.99,0.1,5.31,-6.47,-6.53,sitting
570,0.09,-1.0,0.1,6.84,-7.32,-8.36,sitting
596,0.08,-0.99,0.09,7.2,-6.96,-8.18,sitting
623,0.07,-1.01,0.08,6.47,-5.49,-7.26,sitting
650,0.07,-1.0,0.07,4.7,-3.91,-5.07,sitting
677,0.06,-1.01,0.06,3.11,-3.17,-2.99,sitting
703,0.06,-1.01,0.07,2.38,-2.44,-1.46,sitting
730,0.06,-1.0,0.08,1.28,-1.53,-0.24,sitting
756,0.06,-1.0,0.08,0.79,-1.04,0.61,sitting
783,0.06,-1.0,0.08,0.06,-0.98,0.67,sitting
810,0.06,-1.0,0.08,-0.49,-0.61,0.98,sitting
837,0.06,-1.0,0.09,-0.49,-0.43,1.71,sitting
864,0.07,-1.0,0.09,0.0,-0.18,2.14,sitting
891,0.07,-1.0,0.1,0.55,0.55,2.38,sitting
918,0.08,-1.0,0.11,2.5,1.4,2.32,sitting
944,0.08,-1.0,0.1,2.38,1.4,1.59,sitting
971,0.07,-1.0,0.1,2.81,0.49,1.16,sitting
998,0.07,-1.0,0.1,3.78,0.0,0.98,sitting
1025,0.07,-1.0,0.1,4.27,0.24,0.98,sitting
1051,0.07,-1.01,0.08,4.52,0.37,1.4,sitting
1078,0.07,-0.99,0.12,2.75,-0.43,1.65,sitting
1105,0.06,-1.01,0.08,4.21,0.24,1.83,sitting
1132,0.06,-1.0,0.07,7.02,1.22,2.87,sitting
1159,0.07,-1.01,0.11,2.38,0.98,3.36,sitting
1185,0.08,-1.0,0.07,5.07,2.44,4.27,sitting
1212,0.08,-1.01,0.09,-0.67,-0.31,5.37,sitting
1238,0.09,-1.0,0.09,1.16,0.92,3.48,sitting
1264,0.09,-1.0,0.09,1.83,-0.85,1.89,sitting
1290,0.08,-1.0,0.09,2.75,-1.4,1.53,sitting
1316,0.09,-1.0,0.1,3.6,-1.59,0.67,sitting
1342,0.08,-1.0,0.1,4.33,-1.59,0.49,sitting
1368,0.08,-1.0,0.11,4.88,-2.69,-0.24,sitting
1394,0.09,-1.0,0.1,4.52,-1.89,0.43,sitting
1420,0.09,-1.0,0.09,4.52,-2.2,-0.31,sitting
1446,0.08,-1.01,0.08,4.09,-1.65,0.31,sitting
1472,0.07,-1.0,0.09,4.88,-1.71,0.85,sitting
1498,0.07,-1.0,0.08,6.41,-2.01,0.43,sitting
1524,0.07,-1.0,0.07,5.92,-1.95,0.37,sitting
1551,0.07,-1.02,0.07,3.78,-1.71,0.49,sitting
