time_ms,ax,ay,az,gx,gy,gz,label
20,0.21,-0.98,0.07,-6.59,11.35,2.69,sitting
46,0.2,-0.98,0.07,4.27,-6.84,-2.14,sitting
72,0.19,-0.98,0.07,2.5,0.24,-0.79,sitting
98,0.2,-0.99,0.07,2.62,-0.24,0.43,sitting
124,0.2,-0.99,0.06,1.95,-0.73,2.62,sitting
150,0.21,-0.98,0.07,2.2,-1.53,4.64,sitting
176,0.22,-0.98,0.07,2.62,-2.75,5.49,sitting
202,0.22,-0.98,0.04,2.87,-3.42,4.7,sitting
228,0.24,-0.97,0.05,2.5,-2.26,6.96,sitting
254,0.25,-0.97,0.05,2.62,-3.3,4.64,sitting
280,0.24,-0.97,0.04,0.92,-3.3,2.81,sitting
306,0.24,-0.97,0.05,0.43,-1.65,2.26,sitting
332,0.24,-0.97,0.05,-0.18,-0.85,1.59,sitting
358,0.22,-0.98,0.06,0.06,-1.16,1.59,sitting
384,0.22,-0.98,0.07,0.79,-1.59,2.32,sitting
410,0.23,-0.98,0.08,1.34,-1.77,3.23,sitting
436,0.23,-0.98,0.08,3.05,-2.2,3.85,sitting
463,0.22,-0.98,0.07,5.25,-2.62,5.31,sitting
489,0.23,-0.98,0.07,7.14,-3.05,5.49,sitting
515,0.24,-0.98,0.07,7.08,-3.23,5.62,sitting
541,0.24,-0.97,0.06,7.2,-2.99,5.98,sitting
567,0.25,-0.97,0.05,7.26,-2.75,5.13,sitting
593,0.25,-0.97,0.05,6.41,-2.01,4.88,sitting
619,0.25,-0.97,0.05,5.8,-1.59,4.58,sitting
645,0.26,-0.97,0.05,5.19,-0.98,4.52,sitting
671,0.26,-0.97,0.05,4.46,-0.43,3.85,sitting
697,0.26,-0.97,0.05,3.17,0.37,3.36,sitting
723,0.26,-0.97,0.05,1.34,0.49,1.95,sitting
749,0.26,-0.97,0.06,0.98,0.31,0.61,sitting
775,0.25,-0.97,0.06,2.14,-0.12,0.12,sitting
801,0.25,-0.97,0.06,2.2,-0.06,-0.18,sitting
828,0.25,-0.97,0.05,1.83,0.12,-0.06,sitting
854,0.25,-0.97,0.06,2.08,-0.18,0.24,sitting
880,0.25,-0.97,0.06,1.77,0.61,0.12,sitting
906,0.25,-0.97,0.06,2.14,0.61,-0.12,sitting
932,0.25,-0.97,0.06,3.11,0.31,0.12,sitting
958,0.25,-0.97,0.06,3.36,-0.12,0.37,sitting
984,0.25,-0.97,0.06,3.42,-0.37,0.61,sitting
1010,0.25,-0.97,0.06,3.78,-0.49,0.37,sitting
1037,0.25,-0.97,0.06,3.72,-0.43,0.43,sitting
1063,0.25,-0.97,0.05,3.85,-0.24,0.43,sitting
1089,0.25,-0.97,0.05,3.78,-0.43,0.37,sitting
1115,0.25,-0.97,0.05,3.85,-0.31,0.49,sitting
1142,0.25,-0.97,0.05,3.36,-0.18,0.61,sitting
1168,0.25,-0.97,0.05,3.11,-0.12,0.55,sitting
1194,0.25,-0.97,0.05,2.93,-0.18,0.43,sitting
1220,0.25,-0.97,0.05,2.5,-0.24,0.31,sitting
1246,0.25,-0.97,0.05,2.56,-15.56,0.24,sitting
1273,0.25,-0.97,0.05,2.69,0.06,0.31,sitting
1300,0.25,-0.97,0.05,2.44,0.06,0.18,sitting
1326,0.25,-0.97,0.06,2.69,0.0,0.12,sitting
1353,0.25,-0.97,0.06,2.99,0.0,0.18,sitting
1379,0.25,-0.97,0.06,3.11,-0.37,0.37,sitting
1405,0.25,-0.97,0.05,3.23,-0.55,0.61,sitting
1431,0.25,-0.97,0.05,3.17,-0.55,0.73,sitting
1457,0.25,-0.97,0.05,3.3,-0.61,0.73,sitting
1483,0.25,-0.97,0.05,3.23,-0.43,0.67,sitting
1509,0.25,-0.97,0.05,3.17,-0.49,0.49,sitting
1535,0.25,-0.97,0.05,3.17,-0.61,0.85,sitting
1561,0.24,-0.97,0.06,3.3,-0.61,0.79,sitting
1587,0.25,-0.98,0.06,3.42,-0.79,1.1,sitting
1613,0.24,-0.98,0.05,3.85,-1.1,1.16,sitting
1639,0.25,-0.97,0.05,3.42,-0.85,1.59,sitting
1665,0.25,-0.97,0.05,3.3,-0.79,1.46,sitting
1691,0.25,-0.97,0.05,2.99,-0.61,1.16,sitting
1717,0.25,-0.97,0.05,2.87,-0.79,1.16,sitting
1743,0.25,-0.97,0.05,2.44,-0.85,1.22,sitting
1769,0.25,-0.97,0.05,2.44,-0.61,1.28,sitting
1796,0.25,-0.97,0.05,2.44,-0.67,1.04,sitting
1822,0.25,-0.97,0.05,3.36,-0.67,1.22,sitting
1848,0.25,-0.98,0.05,3.3,-0.37,1.28,sitting
1874,0.25,-0.97,0.06,2.69,-0.61,0.85,sitting
1900,0.25,-0.97,0.06,2.44,-0.85,0.85,sitting
1926,0.25,-0.97,0.06,2.44,-0.92,1.16,sitting
1952,0.25,-0.97,0.05,2.69,-0.98,1.46,sitting
1978,0.25,-0.97,0.05,2.62,-0.79,1.53,sitting
2004,0.25,-0.97,0.05,2.69,-1.1,1.71,sitting
2031,0.25,-0.97,0.05,2.69,-0.79,1.83,sitting
2057,0.25,-0.97,0.05,2.75,-0.79,1.89,sitting
2083,0.25,-0.97,0.05,2.62,-0.73,1.83,sitting
2109,0.25,-0.97,0.05,2.56,-0.73,1.77,sitting
2135,0.25,-0.97,0.06,2.56,-0.67,1.53,sitting
2161,0.25,-0.97,0.05,3.42,-0.92,1.65,sitting
2187,0.25,-0.97,0.05,3.72,-0.85,1.71,sitting
2213,0.25,-0.97,0.05,4.09,-1.04,1.46,sitting
2239,0.25,-0.97,0.05,4.09,-0.92,1.77,sitting
2266,0.26,-0.97,0.05,3.6,-0.92,1.53,sitting
2292,0.25,-0.97,0.05,3.23,-0.61,1.04,sitting
2318,0.25,-0.97,0.05,2.99,-0.73,0.98,sitting
2345,0.25,-0.97,0.05,2.44,-0.61,1.16,sitting
2372,0.25,-0.97,0.05,2.56,-0.49,1.4,sitting
2398,0.25,-0.97,0.05,2.56,-0.73,1.59,sitting
2424,0.25,-0.97,0.05,2.5,-0.55,1.71,sitting
2451,0.25,-0.97,0.05,2.62,-0.85,1.4,sitting
2478,0.25,-0.97,0.05,2.69,-0.67,1.34,sitting
2504,0.26,-0.97,0.05,2.44,-0.73,1.34,sitting
2531,0.26,-0.97,0.05,2.62,-0.67,1.4,sitting
2557,0.26,-0.97,0.05,2.5,-0.79,1.28,sitting
2584,0.26,-0.97,0.05,2.56,-0.79,1.16,sitting
2610,0.26,-0.97,0.05,2.56,-0.67,1.04,sitting
2636,0.25,-0.97,0.05,2.5,-0.73,1.1,sitting
2662,0.26,-0.97,0.05,2.5,-0.79,1.1,sitting
2689,0.25,-0.97,0.05,2.99,-0.61,1.1,sitting
2715,0.26,-0.97,0.05,3.97,-0.67,1.65,sitting
2742,0.26,-0.97,0.05,4.09,-0.55,1.65,sitting
2768,0.26,-0.97,0.06,2.87,-0.49,1.16,sitting
2794,0.26,-0.97,0.06,2.44,-0.61,1.22,sitting
2820,0.26,-0.97,0.06,2.38,-0.61,1.28,sitting
2846,0.26,-0.97,0.06,2.69,-0.61,1.28,sitting
2872,0.26,-0.97,0.05,2.69,-0.61,1.16,sitting
2898,0.26,-0.97,0.05,3.23,-0.67,1.53,sitting
2924,0.26,-0.97,0.05,3.23,-0.55,1.46,sitting
2950,0.26,-0.97,0.05,3.05,-0.67,1.1,sitting
2976,0.26,-0.97,0.05,2.87,-0.79,1.1,sitting
3002,0.26,-0.97,0.05,2.81,-0.67,1.16,sitting
3028,0.26,-0.97,0.05,2.69,-0.73,1.04,sitting
3054,0.26,-0.97,0.05,2.56,-0.61,0.85,sitting
3081,0.26,-0.97,0.05,2.38,-0.43,0.98,sitting
3107,0.26,-0.97,0.06,2.38,-0.37,0.92,sitting
3133,0.26,-0.97,0.06,2.44,-0.55,0.85,sitting
3159,0.26,-0.97,0.06,2.62,-0.61,0.92,sitting
3185,0.26,-0.97,0.06,2.93,-0.73,0.92,sitting
3211,0.26,-0.97,0.05,2.93,-0.73,1.22,sitting
3237,0.26,-0.97,0.06,2.81,-0.67,1.1,sitting
3263,0.26,-0.97,0.06,2.81,-0.79,0.79,sitting
3290,0.26,-0.97,0.06,2.81,-0.79,1.16,sitting
3316,0.26,-0.97,0.05,2.75,-0.67,0.98,sitting
3342,0.26,-0.97,0.05,2.5,-0.73,1.1,sitting
3368,0.26,-0.97,0.06,2.56,-0.67,1.1,sitting
3395,0.26,-0.97,0.05,2.44,-0.61,1.28,sitting
3421,0.26,-0.97,0.06,2.2,-0.49,1.34,sitting
3447,0.26,-0.97,0.06,2.5,-0.61,0.85,sitting
3473,0.26,-0.97,0.06,2.56,-0.79,0.85,sitting
3499,0.26,-0.97,0.06,2.93,-0.61,0.92,sitting
3525,0.26,-0.97,0.06,2.93,-0.67,0.85,sitting
3552,0.26,-0.97,0.06,2.87,-0.79,0.98,sitting
3578,0.26,-0.97,0.06,2.81,-0.61,0.92,sitting
3605,0.26,-0.97,0.06,2.81,-0.55,0.85,sitting
3632,0.26,-0.97,0.06,2.75,-0.43,0.79,sitting
3658,0.26,-0.97,0.06,2.5,-0.55,0.92,sitting
3684,0.26,-0.97,0.06,2.5,-0.49,0.85,sitting
3710,0.26,-0.97,0.06,2.56,-0.55,0.67,sitting
3736,0.26,-0.97,0.06,2.69,-0.61,0.92,sitting
3762,0.26,-0.97,0.06,2.93,-0.73,0.79,sitting
3789,0.26,-0.97,0.06,2.93,-0.55,0.67,sitting
3815,0.26,-0.97,0.06,2.81,-0.49,0.73,sitting
