time_ms,ax,ay,az,gx,gy,gz,label
20,-0.99,-0.26,0.11,-6.71,12.15,2.87,standing
46,-0.99,-0.27,0.1,5.49,-5.92,-2.14,standing
72,-0.99,-0.28,0.09,3.6,0.37,-1.46,standing
98,-0.98,-0.28,0.08,4.21,0.31,-0.55,standing
124,-0.98,-0.28,0.08,5.31,-0.06,0.06,standing
150,-0.99,-0.27,0.09,6.41,-0.06,0.18,standing
176,-0.99,-0.27,0.09,6.41,-0.31,-0.12,standing
202,-0.98,-0.27,0.09,6.41,-0.06,-0.31,standing
228,-0.98,-0.27,0.09,6.47,0.31,-0.18,standing
254,-0.99,-0.27,0.08,6.23,-0.06,-0.24,standing
280,-0.99,-0.26,0.09,5.55,-0.31,-0.24,standing
306,-0.99,-0.26,0.09,4.82,-0.37,-0.37,standing
332,-0.99,-0.26,0.09,5.07,0.12,-0.67,standing
358,-0.98,-0.28,0.1,4.76,0.67,-1.04,standing
384,-0.98,-0.27,0.09,2.69,0.98,0.0,standing
410,-0.99,-0.27,0.08,4.76,0.55,0.06,standing
436,-0.99,-0.28,0.09,5.31,0.37,0.43,standing
462,-0.98,-0.28,0.09,5.0,0.31,1.53,standing
488,-0.98,-0.28,0.09,5.13,0.79,2.38,standing
514,-0.98,-0.27,0.09,5.37,1.53,3.17,standing
540,-0.97,-0.27,0.09,5.68,2.08,3.48,standing
566,-0.97,-0.26,0.09,4.88,2.32,3.72,standing
592,-1.0,-0.27,0.09,4.46,2.62,3.36,standing
618,-0.99,-0.26,0.09,4.15,1.95,2.81,standing
644,-0.99,-0.25,0.09,4.27,1.28,2.26,standing
670,-0.99,-0.24,0.09,4.27,1.4,1.04,standing
696,-0.99,-0.22,0.09,3.78,2.26,-0.61,standing
722,-1.0,-0.21,0.09,1.71,1.89,-2.38,standing
748,-1.0,-0.24,0.1,-0.12,0.06,-3.85,standing
774,-1.0,-0.26,0.1,-0.67,-1.4,-4.21,standing
800,-0.99,-0.28,0.11,0.06,-1.4,-3.11,standing
826,-0.99,-0.27,0.11,1.1,-1.22,-1.77,standing
852,-0.98,-0.26,0.1,2.26,-0.55,-0.31,standing
878,-0.99,-0.26,0.09,3.11,-0.55,0.55,standing
904,-0.98,-0.25,0.09,2.26,-1.04,0.98,standing
930,-0.98,-0.26,0.1,2.44,-2.08,0.98,standing
957,-0.99,-0.25,0.11,2.99,-2.32,0.92,standing
983,-0.99,-0.25,0.11,3.05,-1.59,0.85,standing
1009,-0.99,-0.25,0.11,1.83,-1.22,0.61,standing
1035,-1.0,-0.25,0.11,0.61,-1.1,0.24,standing
1061,-0.99,-0.25,0.1,-0.55,-1.28,0.12,standing
1087,-0.99,-0.25,0.1,-1.34,-1.1,-0.12,standing
1113,-1.0,-0.24,0.1,-0.55,-0.79,-0.12,standing
1140,-0.98,-0.24,0.1,1.04,-0.37,0.0,standing
1167,-0.98,-0.25,0.1,1.89,0.55,0.67,standing
1193,-0.99,-0.24,0.09,2.69,1.83,1.28,standing
1219,-0.99,-0.23,0.09,3.97,1.77,1.34,standing
1245,-1.0,-0.23,0.09,3.6,0.67,0.92,standing
1271,-1.0,-0.23,0.1,2.26,0.0,0.18,standing
1297,-0.99,-0.23,0.1,1.28,-0.49,-0.92,standing
1323,-0.99,-0.25,0.1,0.31,-0.37,-1.46,standing
1350,-0.99,-0.26,0.1,1.4,0.0,-1.04,standing
1376,-0.98,-0.26,0.1,2.87,0.06,0.18,standing
1402,-0.98,-0.26,0.1,3.78,0.06,1.04,standing
1428,-0.98,-0.26,0.09,4.27,0.31,1.89,standing
1454,-0.99,-0.25,0.09,4.03,-0.06,2.38,standing
1480,-0.99,-0.24,0.1,3.42,-0.49,2.44,standing
1506,-1.0,-0.23,0.1,3.36,-1.04,1.71,standing
1532,-0.99,-0.23,0.11,2.08,-0.98,1.22,standing
1558,-0.99,-0.24,0.11,1.59,-0.79,0.67,standing
1584,-0.99,-0.25,0.11,2.2,-0.67,0.12,standing
1610,-0.99,-0.26,0.11,2.44,-0.24,0.31,standing
1636,-0.99,-0.26,0.11,2.62,0.12,0.37,standing
1662,-0.99,-0.26,0.1,2.2,-0.24,0.67,standing
1688,-0.99,-0.26,0.1,1.65,-0.85,0.85,standing
1714,-0.98,-0.26,0.1,2.62,-0.92,1.53,standing
1740,-0.98,-0.26,0.11,3.23,-0.85,2.01,standing
1766,-0.99,-0.25,0.11,3.3,-0.55,2.01,standing
1792,-0.99,-0.25,0.11,3.11,-0.49,1.65,standing
1818,-0.99,-0.25,0.11,2.75,-0.31,1.53,standing
1844,-0.99,-0.24,0.11,2.32,0.24,1.1,standing
1870,-0.99,-0.24,0.1,1.89,0.06,0.85,standing
1896,-0.99,-0.24,0.1,2.14,0.37,0.55,standing
1922,-0.99,-0.25,0.1,3.17,0.43,0.24,standing
1948,-0.99,-0.25,0.1,3.48,0.12,0.37,standing
1974,-0.99,-0.26,0.1,2.87,-0.31,0.73,standing
2000,-0.99,-0.26,0.1,2.81,-0.61,0.98,standing
2026,-0.99,-0.26,0.1,2.87,-0.98,1.28,standing
2052,-0.99,-0.26,0.11,2.87,-0.79,1.53,standing
2078,-0.99,-0.25,0.11,2.81,-0.24,1.53,standing
2104,-0.99,-0.26,0.11,2.99,-0.18,1.46,standing
2130,-0.99,-0.26,0.11,2.99,0.06,1.59,standing
2156,-0.99,-0.26,0.1,2.81,0.31,1.59,standing
2182,-0.99,-0.26,0.1,3.05,0.43,1.46,standing
2208,-0.99,-0.25,0.1,2.62,0.49,1.34,standing
2234,-0.99,-0.25,0.1,1.95,0.18,1.28,standing
2260,-0.99,-0.25,0.1,2.26,0.12,1.1,standing
2286,-0.99,-0.26,0.1,1.89,-0.43,1.22,standing
2312,-0.99,-0.25,0.1,2.26,0.18,1.59,standing
2338,-0.99,-0.24,0.1,2.81,0.24,1.83,standing
2364,-0.99,-0.25,0.1,2.44,-0.85,1.28,standing
2390,-0.99,-0.26,0.11,2.08,-0.73,1.28,standing
2416,-0.99,-0.26,0.11,2.44,-0.24,1.65,standing
2443,-0.99,-0.26,0.11,3.48,0.06,1.53,standing
2470,-0.99,-0.26,0.11,3.54,-0.55,1.4,standing
2496,-0.99,-0.26,0.11,2.26,-0.55,1.53,standing
2522,-0.98,-0.26,0.11,1.53,-0.92,1.83,standing
2548,-0.99,-0.26,0.11,2.26,-0.79,2.14,standing
2574,-0.99,-0.26,0.11,2.87,-0.37,2.2,standing
2600,-0.99,-0.25,0.11,2.2,0.0,2.2,standing
2626,-0.99,-0.25,0.1,2.01,-0.24,1.77,standing
2652,-0.99,-0.26,0.11,2.62,-0.43,1.1,standing
2678,-0.99,-0.26,0.11,2.44,-0.43,1.1,standing
2704,-0.98,-0.26,0.11,2.01,-0.49,1.22,standing
2730,-0.98,-0.27,0.1,1.89,-0.43,1.77,standing
2756,-0.99,-0.26,0.1,2.69,-0.55,2.14,standing
2782,-0.99,-0.26,0.11,3.05,-0.61,2.08,standing
2808,-0.99,-0.26,0.11,2.32,-0.67,1.89,standing
2834,-0.99,-0.26,0.11,2.62,-0.37,1.77,standing
2860,-0.99,-0.26,0.1,2.5,0.0,1.53,standing
2886,-0.99,-0.26,0.1,2.38,-0.31,1.16,standing
2912,-0.99,-0.26,0.11,2.2,-0.37,1.28,standing
2938,-0.99,-0.26,0.11,1.59,-0.49,1.4,standing
2964,-0.98,-0.26,0.11,2.14,-0.43,1.4,standing
2990,-0.99,-0.26,0.11,2.38,-0.49,1.46,standing
3016,-0.99,-0.26,0.11,2.32,-0.55,1.34,standing
3042,-0.99,-0.25,0.1,2.38,-0.55,1.53,standing
3068,-0.99,-0.26,0.1,2.44,-0.67,1.1,standing
3094,-0.99,-0.27,0.11,2.26,-0.92,1.16,standing
3120,-0.98,-0.27,0.11,2.08,-0.67,1.22,standing
3146,-0.98,-0.27,0.11,2.62,-0.12,1.95,standing
3172,-0.99,-0.27,0.11,2.87,0.06,2.08,standing
3198,-0.99,-0.27,0.11,2.56,-0.06,2.44,standing
3224,-0.98,-0.26,0.11,2.2,-0.49,2.69,standing
3250,-0.99,-0.26,0.11,2.81,-0.55,2.44,standing
3276,-0.99,-0.26,0.11,3.6,-0.24,2.01,standing
3302,-0.99,-0.28,0.11,3.97,0.24,1.77,standing
3328,-0.97,-0.28,0.11,3.54,0.61,2.2,standing
3354,-0.98,-0.28,0.1,3.54,1.04,2.87,standing
3380,-0.98,-0.28,0.1,3.97,0.92,3.23,standing
3406,-0.98,-0.27,0.1,3.36,0.18,3.42,standing
3432,-0.99,-0.27,0.11,2.26,-0.67,3.23,standing
3458,-0.99,-0.27,0.11,1.95,-0.85,3.17,standing
3484,-0.99,-0.27,0.11,1.59,-0.55,2.93,standing
3510,-0.98,-0.27,0.11,2.2,-0.43,2.69,standing
3536,-0.98,-0.28,0.11,1.77,-0.24,2.62,standing
3562,-0.98,-0.28,0.1,1.34,-0.24,2.44,standing
3588,-0.98,-0.28,0.1,1.89,-0.37,2.62,standing
3614,-0.97,-0.28,0.1,2.38,-0.49,2.81,standing
3640,-0.98,-0.28,0.1,2.87,-0.55,2.69,standing
3666,-0.98,-0.29,0.1,2.75,-0.31,2.81,standing
3692,-0.98,-0.29,0.11,2.69,-1.4,2.56,standing
3718,-0.99,-0.29,0.11,2.75,-1.4,2.26,standing
3745,-0.98,-0.29,0.12,2.93,-1.22,2.26,standing
3771,-0.97,-0.29,0.11,2.87,0.0,2.62,standing
3797,-0.97,-0.29,0.1,3.05,0.85,2.99,standing
3823,-0.98,-0.3,0.1,3.54,0.73,3.11,standing
3849,-0.99,-0.29,0.1,3.78,0.37,3.3,standing
3875,-0.98,-0.28,0.11,1.1,-0.73,3.05,standing
3901,-0.98,-0.28,0.11,0.43,-0.79,2.38,standing
3927,-0.98,-0.29,0.11,0.98,-0.61,1.95,standing
3953,-0.98,-0.3,0.11,1.59,-0.67,1.77,standing
3979,-0.97,-0.3,0.11,3.11,0.0,2.26,standing
4005,-0.97,-0.3,0.11,3.78,0.06,2.38,standing
4031,-0.96,-0.3,0.11,4.03,0.43,2.14,standing
4057,-0.96,-0.31,0.11,4.58,1.28,2.44,standing
4083,-0.98,-0.31,0.11,4.21,-0.18,2.14,standing
4109,-0.98,-0.3,0.11,2.81,-1.04,2.08,standing
