time_ms,ax,ay,az,gx,gy,gz,label
20,-1.00,0.16,0.04,-16.97,34.18,6.47,standing
46,-1.01,0.14,0.03,-2.26,-5.55,-3.23,standing
72,-1.01,0.13,0.03,-3.30,-0.37,-3.17,standing
98,-1.01,0.12,0.04,-1.83,-0.43,-2.32,standing
124,-1.01,0.12,0.05,0.18,-1.34,-0.67,standing
150,-1.02,0.13,0.05,3.11,-2.01,0.73,standing
176,-1.01,0.13,0.06,4.70,-1.04,1.53,standing
202,-1.00,0.13,0.06,2.75,-0.55,1.65,standing
228,-1.01,0.14,0.05,-0.37,-0.06,1.40,standing
255,-1.00,0.14,0.04,-0.79,0.00,0.49,standing
281,-1.01,0.14,0.04,-1.71,0.24,0.12,standing
308,-1.01,0.14,0.04,-3.11,0.24,-0.55,standing
334,-1.01,0.13,0.04,-4.58,0.12,-0.24,standing
360,-1.01,0.13,0.04,-2.81,-0.06,0.31,standing
387,-1.01,0.14,0.04,0.85,0.00,0.67,standing
413,-0.99,0.15,0.04,2.01,-0.18,0.79,standing
439,-1.00,0.16,0.02,2.32,1.10,0.73,standing
465,-1.00,0.15,0.02,2.81,-0.24,0.43,standing
491,-1.02,0.15,0.03,2.08,-1.65,0.79,standing
517,-1.02,0.15,0.04,2.20,-1.83,0.67,standing
543,-1.01,0.15,0.05,2.38,-2.32,0.37,standing
569,-1.01,0.15,0.04,3.85,-2.20,-0.24,standing
595,-1.01,0.15,0.04,5.37,-1.95,-0.55,standing
621,-1.01,0.14,0.03,5.25,-1.46,-1.22,standing
647,-1.01,0.12,0.03,4.33,-1.16,-1.22,standing
673,-1.00,0.13,0.03,4.70,-0.73,-0.67,standing
700,-1.00,0.14,0.03,5.37,-1.22,-0.24,standing
726,-1.00,0.14,0.04,4.46,-1.04,-0.18,standing
752,-1.01,0.14,0.04,3.11,-1.10,-0.12,standing
778,-1.02,0.14,0.04,2.81,-1.10,0.00,standing
804,-1.02,0.14,0.05,2.81,-0.79,0.18,standing
830,-1.00,0.14,0.04,2.56,-0.67,0.24,standing
856,-1.01,0.14,0.03,2.75,-0.49,0.24,standing
882,-1.01,0.14,0.04,3.36,-0.73,0.49,standing
908,-1.00,0.14,0.04,2.56,-0.67,0.73,standing
935,-1.01,0.14,0.03,2.93,-0.12,0.85,standing
961,-1.01,0.14,0.04,2.87,-0.67,1.16,standing
987,-1.00,0.16,0.03,1.89,-0.73,1.34,standing
1014,-1.01,0.16,0.03,3.48,-0.37,0.79,standing
1041,-1.02,0.16,0.03,4.27,-1.10,0.92,standing
1067,-1.02,0.15,0.04,4.58,-2.01,0.73,standing
1094,-1.01,0.15,0.04,4.58,-0.67,0.24,standing
1120,-1.00,0.15,0.04,4.09,-0.61,-0.24,standing
1147,-1.00,0.15,0.04,3.78,-0.73,-0.12,standing
1173,-1.00,0.15,0.03,3.30,-0.43,-0.06,standing
1199,-1.01,0.15,0.03,3.42,-0.43,0.31,standing
1225,-1.01,0.14,0.03,3.54,-0.61,0.92,standing
1251,-1.01,0.14,0.03,3.60,-0.37,1.22,standing
1277,-1.01,0.14,0.03,4.15,-0.67,1.95,standing
1303,-1.01,0.14,0.04,5.13,-0.79,2.26,standing
1330,-1.01,0.15,0.04,5.37,-1.22,2.26,standing
1357,-1.01,0.16,0.04,5.07,-0.55,2.01,standing
1383,-1.01,0.16,0.03,3.91,-0.92,1.65,standing
1409,-1.01,0.15,0.03,3.23,-0.98,0.73,standing
1436,-1.01,0.14,0.03,3.23,0.06,0.43,standing
1463,-1.00,0.14,0.04,2.99,-0.12,0.79,standing
1489,-1.01,0.15,0.03,3.54,-0.12,0.73,standing
1515,-1.01,0.15,0.03,3.30,-0.24,0.79,standing
1542,-1.02,0.14,0.03,3.78,-0.37,0.79,standing
1569,-1.01,0.14,0.03,3.91,-0.37,1.22,standing
1595,-1.01,0.14,0.03,3.97,-0.49,1.28,standing
1622,-1.01,0.15,0.04,3.66,-0.43,1.40,standing
1649,-1.01,0.16,0.03,3.91,-0.43,1.16,standing
1675,-1.01,0.15,0.03,3.17,-0.18,0.55,standing
1701,-1.01,0.14,0.03,3.05,-0.37,0.37,standing
1727,-1.01,0.14,0.03,3.54,-0.37,0.55,standing
1754,-1.01,0.14,0.03,3.78,-0.79,0.67,standing
1780,-1.01,0.14,0.04,4.33,-0.98,0.61,standing
1806,-1.01,0.14,0.04,4.58,-0.92,0.49,standing
1832,-1.01,0.13,0.04,3.17,-1.04,0.43,standing
1858,-1.01,0.14,0.04,1.95,-0.85,0.49,standing
1884,-1.01,0.14,0.04,2.44,-0.61,0.55,standing
1910,-1.02,0.14,0.04,2.56,-0.06,0.67,standing
1936,-1.00,0.15,0.03,2.56,-0.31,0.73,standing
1962,-1.00,0.15,0.03,2.56,-0.43,0.73,standing
1988,-1.01,0.15,0.03,2.87,-0.37,0.37,standing
2014,-1.01,0.14,0.03,2.32,-0.92,0.37,standing
2040,-1.00,0.14,0.03,3.30,0.43,0.61,standing
2067,-1.01,0.14,0.04,2.99,-0.43,0.98,standing
2093,-1.01,0.14,0.04,2.50,-0.37,1.10,standing
2119,-1.01,0.15,0.04,3.11,-0.06,1.40,standing
2146,-1.00,0.15,0.03,2.93,0.12,1.34,standing
2172,-1.01,0.15,0.03,2.93,0.12,1.22,standing
2199,-1.01,0.15,0.03,2.50,-0.06,1.59,standing
2226,-1.01,0.14,0.03,2.87,-0.12,1.77,standing
2253,-1.01,0.14,0.04,3.30,0.37,2.26,standing
2279,-1.00,0.15,0.04,3.05,0.43,2.32,standing
2305,-1.01,0.16,0.03,2.75,0.18,2.08,standing
2331,-1.01,0.15,0.03,2.69,0.24,1.53,standing
2357,-1.01,0.14,0.03,2.01,-0.06,1.16,standing
2384,-1.01,0.14,0.04,2.99,0.00,1.46,standing
2411,-1.00,0.14,0.04,3.42,0.18,1.65,standing
2437,-1.01,0.14,0.04,3.05,0.37,1.46,standing
2463,-1.01,0.14,0.03,2.69,0.06,1.40,standing
2490,-1.02,0.14,0.04,2.38,0.06,1.34,standing
2516,-1.01,0.13,0.04,2.69,-0.37,1.59,standing
2542,-1.01,0.14,0.04,2.69,-0.67,1.28,standing
2569,-1.00,0.15,0.04,2.26,-0.55,0.79,standing
2596,-1.01,0.14,0.04,1.71,-0.31,0.18,standing
2623,-1.01,0.13,0.04,1.04,-0.06,0.06,standing
2650,-1.01,0.13,0.04,1.65,0.12,0.55,standing
2677,-1.01,0.14,0.04,2.08,-0.06,1.04,standing
2703,-1.01,0.14,0.03,2.93,-0.31,1.10,standing
2729,-1.00,0.15,0.04,3.05,-0.37,0.98,standing
2756,-1.01,0.15,0.03,3.23,-0.55,0.49,standing
2783,-1.00,0.15,0.03,2.69,-0.67,-0.06,standing
2809,-1.01,0.14,0.04,2.20,-0.98,-0.31,standing
2836,-1.02,0.14,0.04,1.10,-1.10,-0.31,standing
2863,-1.03,0.14,0.04,1.40,-1.22,-0.24,standing
2890,-1.01,0.13,0.05,2.38,-0.49,-0.49,standing
2917,-1.01,0.11,0.05,2.75,0.43,-0.18,standing
2944,-1.00,0.11,0.05,2.44,0.73,1.16,standing
2971,-1.01,0.14,0.04,3.72,0.49,1.83,standing
2997,-1.01,0.14,0.03,4.52,0.00,2.01,standing
3023,-1.01,0.14,0.03,4.33,-0.43,1.71,standing
3049,-1.02,0.14,0.04,2.93,-1.34,1.40,standing
3075,-1.01,0.14,0.04,2.50,-1.10,0.79,standing
3101,-1.01,0.15,0.04,2.87,-0.31,0.31,standing
3127,-1.01,0.15,0.03,3.11,0.12,-0.55,standing
3153,-1.00,0.14,0.03,2.38,0.12,-0.73,standing
3179,-1.01,0.13,0.03,2.08,-0.12,-0.49,standing
3205,-1.01,0.13,0.03,2.56,-0.37,0.00,standing
3231,-1.01,0.13,0.04,3.42,-0.55,0.61,standing
3257,-1.01,0.13,0.04,4.27,-0.55,1.40,standing
3283,-1.01,0.13,0.05,4.70,-0.43,1.95,standing
3309,-1.01,0.15,0.05,5.07,-0.12,2.01,standing
3335,-1.01,0.15,0.04,4.82,0.31,1.59,standing
3361,-1.01,0.14,0.03,4.46,-0.06,0.85,standing
3388,-1.01,0.13,0.03,4.21,-0.24,0.73,standing
3414,-1.00,0.13,0.04,3.85,-0.55,0.79,standing
3441,-1.01,0.13,0.04,3.11,-0.85,0.67,standing
3468,-1.01,0.14,0.05,2.69,-0.98,0.92,standing
3495,-1.01,0.14,0.05,2.81,-0.67,0.73,standing
