time_ms,ax,ay,az,gx,gy,gz,label
20,-1.17,0.14,-0.0,-13.24,32.17,7.63,walk_down
46,-1.05,0.1,0.08,129.39,-45.35,2.2,walk_down
72,-1.02,0.09,0.11,187.32,-41.56,-4.46,walk_down
98,-1.2,0.06,0.23,172.42,-40.41,-8.24,walk_down
124,-1.06,0.03,0.32,115.11,-38.15,-23.13,walk_down
150,-1.01,-0.14,0.38,30.33,1.16,-14.28,walk_down
176,-0.97,-0.34,0.29,-88.81,44.37,9.16,walk_down
202,-0.86,-0.37,0.1,-169.49,79.04,38.27,walk_down
228,-0.91,-0.02,-0.06,-207.58,79.96,32.65,walk_down
254,-0.96,0.24,-0.23,-198.24,43.82,6.04,walk_down
280,-0.8,-0.03,-0.23,-157.65,36.32,12.76,walk_down
306,-0.58,-0.25,-0.07,-109.13,19.96,31.62,walk_down
332,-0.78,-0.04,0.07,-62.81,32.53,27.53,walk_down
358,-0.88,0.28,0.12,-22.83,42.05,9.95,walk_down
384,-0.8,0.35,0.19,39.73,41.5,9.09,walk_down
410,-0.82,0.43,0.39,69.21,41.56,2.5,walk_down
436,-1.06,0.51,0.9,2.08,50.11,-8.85,walk_down
462,-1.53,0.12,1.13,-134.77,57.98,-59.45,walk_down
488,-1.29,0.04,0.7,-184.69,113.28,-61.83,walk_down
514,-1.05,0.23,0.27,-162.35,114.01,-44.56,walk_down
540,-1.11,-0.48,-0.27,-193.79,27.16,-13.24,walk_down
566,-0.77,-0.56,0.2,-184.75,-46.88,-80.87,walk_down
593,-1.38,0.37,0.62,-109.37,-36.74,-111.45,walk_down
619,-0.99,0.25,0.37,0.0,-29.97,-71.17,walk_down
646,-1.02,-0.03,0.19,49.32,-22.89,-14.53,walk_down
673,-0.99,-0.06,0.23,75.2,-22.95,9.89,walk_down
699,-0.67,-0.03,0.36,72.2,-6.77,46.02,walk_down
725,-0.65,-0.16,0.22,75.62,-17.09,65.98,walk_down
751,-0.7,-0.28,0.2,73.85,-34.97,71.11,walk_down
777,-0.58,-0.18,0.13,70.25,-55.91,55.36,walk_down
804,-0.46,0.02,0.03,40.41,-85.94,43.52,walk_down
830,-0.73,-0.02,0.32,44.43,-70.8,31.49,walk_down
856,-0.71,-0.02,0.29,125.0,-62.81,24.72,walk_down
883,-0.64,-0.12,0.12,111.08,-61.46,4.27,walk_down
909,-0.78,-0.18,0.25,92.96,-75.13,-6.77,walk_down
936,-1.07,0.0,0.37,124.45,-68.79,-17.03,walk_down
962,-1.12,0.26,0.16,177.06,-64.21,11.11,walk_down
988,-1.33,0.26,0.34,220.34,-74.77,20.81,walk_down
1014,-1.44,-0.08,0.74,182.8,-75.44,4.46,walk_down
1040,-1.09,0.14,0.62,57.37,-42.42,-8.79,walk_down
1067,-0.81,0.06,0.31,-0.67,10.5,17.52,walk_down
1093,-0.91,0.18,0.16,-12.94,11.47,11.47,walk_down
1119,-1.46,0.37,-0.02,24.66,-9.46,-19.35,walk_down
1146,-1.4,-0.24,-0.22,89.78,1.89,-22.34,walk_down
1172,-1.54,0.05,-0.23,125.06,-14.34,-35.58,walk_down
1198,-1.63,0.16,-0.11,109.99,19.65,-24.6,walk_down
1225,-2.03,-0.05,-0.13,64.27,35.58,-31.13,walk_down
1251,-1.5,-0.34,-0.14,-0.06,58.9,-3.3,walk_down
1278,-0.84,-0.32,-0.05,-54.2,25.88,27.34,walk_down
1304,-0.84,-0.07,-0.1,-76.78,-3.66,28.02,walk_down
1331,-0.81,0.17,-0.22,-47.3,27.34,29.17,walk_down
1358,-0.99,0.12,-0.27,-47.91,31.13,27.28,walk_down
1384,-1.01,0.0,-0.39,-17.82,18.86,9.52,walk_down
1410,-0.99,0.02,-0.39,32.65,-38.15,-9.89,walk_down
1436,-1.07,-0.18,-0.15,78.86,-48.71,0.37,walk_down
1463,-0.88,-0.2,0.09,83.74,-35.46,35.52,walk_down
1489,-0.75,-0.1,0.25,39.06,-24.29,61.77,walk_down
1515,-0.94,0.07,0.3,-16.24,-4.33,73.73,walk_down
1542,-1.24,0.55,0.46,-78.43,4.94,82.95,walk_down
1568,-1.09,0.36,0.47,-105.41,30.88,32.17,walk_down
1594,-0.64,-0.3,-0.02,-68.42,78.92,34.61,walk_down
1620,-0.74,-0.0,-0.04,-50.48,87.46,29.72,walk_down
1647,-0.61,0.1,0.08,-37.78,100.77,21.36,walk_down
1673,-0.36,0.15,0.0,-66.41,118.29,15.93,walk_down
1699,-0.88,0.22,0.32,-110.9,68.24,-17.46,walk_down
1725,-1.78,-0.13,1.0,-228.27,38.82,-95.95,walk_down
1751,-1.37,0.24,0.73,-333.5,104.25,-96.98,walk_down
1777,-1.4,-0.55,0.0,-302.73,79.16,-40.59,walk_down
1804,-1.02,-0.47,0.41,-206.79,-18.98,-105.1,walk_down
1831,-1.19,0.25,0.48,-89.23,-46.14,-71.04,walk_down
1858,-1.13,-0.17,0.44,49.99,-27.47,-31.98,walk_down
1884,-0.84,-0.18,0.15,67.75,4.21,4.82,walk_down
1910,-0.77,-0.09,0.2,56.76,3.78,34.73,walk_down
1936,-0.62,-0.23,0.17,23.86,-10.44,74.16,walk_down
1962,-0.72,-0.23,0.04,23.93,-38.09,82.09,walk_down
1989,-0.66,-0.16,0.12,32.41,-60.06,68.73,walk_down
