time_ms,ax,ay,az,gx,gy,gz,label
20,-1.19,0.16,0.24,-17.76,37.23,9.34,walk_down
48,-1.17,0.08,0.74,-26.98,-30.46,26.25,walk_down
76,-1.0,0.22,0.71,-241.88,-5.55,37.35,walk_down
103,-0.91,0.17,0.24,-208.68,105.04,9.7,walk_down
130,-0.77,0.02,-0.13,-160.77,85.45,-10.38,walk_down
157,-0.6,0.11,-0.2,-98.94,76.84,-26.92,walk_down
184,-0.48,-0.04,-0.12,28.14,103.21,-10.5,walk_down
210,-0.49,0.06,-0.01,99.0,106.02,26.18,walk_down
236,-0.63,0.17,0.22,116.33,83.56,62.87,walk_down
263,-1.07,0.07,0.81,24.05,63.23,47.61,walk_down
289,-2.06,-0.44,0.83,-264.71,21.3,-43.15,walk_down
315,-1.06,-0.03,0.48,-253.66,115.91,-12.63,walk_down
341,-0.96,-0.1,-0.13,-302.43,27.1,-76.11,walk_down
368,-1.26,-0.29,0.23,-384.95,-1.77,-167.36,walk_down
394,-1.51,0.67,0.79,-179.44,-31.86,-111.33,walk_down
420,-1.02,0.12,0.62,22.4,-8.79,-37.17,walk_down
446,-0.9,0.13,0.22,58.11,-1.28,-2.75,walk_down
472,-0.65,-0.07,0.32,44.8,-13.67,30.52,walk_down
498,-0.55,-0.21,0.21,40.34,-15.32,62.13,walk_down
524,-0.71,-0.15,0.05,36.01,-48.46,69.95,walk_down
550,-0.71,-0.06,0.06,9.03,-73.49,56.4,walk_down
577,-0.47,0.0,0.19,9.34,-78.12,37.41,walk_down
604,-0.5,0.05,0.14,6.04,-86.73,30.88,walk_down
631,-0.74,0.04,0.26,21.3,-103.27,7.69,walk_down
657,-0.89,0.18,0.26,71.41,-106.08,-19.17,walk_down
684,-1.09,0.34,0.45,13.0,-60.49,-10.07,walk_down
711,-1.37,0.42,0.59,1.59,-32.41,25.09,walk_down
738,-1.01,0.26,0.52,67.02,-32.65,69.34,walk_down
765,-0.91,0.23,0.4,139.71,-20.81,83.68,walk_down
791,-1.12,0.43,0.37,159.24,-23.93,61.28,walk_down
818,-1.0,0.16,0.31,185.97,-38.76,23.93,walk_down
845,-0.91,-0.24,0.39,156.56,-44.74,0.0,walk_down
872,-0.63,0.02,0.27,83.01,-8.91,30.52,walk_down
899,-0.62,0.14,0.09,76.17,17.88,58.9,walk_down
925,-1.19,0.01,-0.03,139.16,-32.41,-4.39,walk_down
952,-1.73,0.19,-0.09,174.68,23.86,-2.99,walk_down
979,-1.86,0.36,-0.39,194.15,-12.08,-98.21,walk_down
1006,-2.04,0.23,0.01,171.51,-1.34,-62.44,walk_down
1032,-2.21,-0.09,-0.02,10.31,70.98,-28.56,walk_down
1059,-1.06,-0.47,-0.19,-174.13,58.35,-22.46,walk_down
1085,-0.89,-0.3,-0.23,-205.99,51.03,27.83,walk_down
1112,-0.54,-0.0,-0.32,-73.55,12.27,37.23,walk_down
1139,-0.68,0.12,-0.41,13.61,56.15,45.84,walk_down
1166,-0.88,0.11,-0.25,37.54,31.13,31.07,walk_down
1192,-0.9,0.09,-0.15,54.08,-10.74,28.69,walk_down
1218,-0.79,-0.17,-0.06,84.53,-51.76,14.59,walk_down
1244,-0.85,-0.32,0.07,67.2,-29.66,17.27,walk_down
1270,-0.99,0.3,0.04,38.76,-13.0,62.99,walk_down
1296,-1.16,0.36,0.21,22.95,-1.65,63.23,walk_down
