time_ms,ax,ay,az,gx,gy,gz,label
20,-0.92,0.21,-0.19,-25.63,49.93,6.9,walk_down
46,-1.0,0.24,-0.27,-2.69,44.13,-17.46,walk_down
72,-0.98,0.24,-0.29,39.86,32.47,-4.39,walk_down
98,-0.99,0.21,-0.21,43.03,16.72,6.71,walk_down
125,-0.96,0.19,-0.26,27.53,6.65,14.89,walk_down
151,-0.88,0.2,-0.25,35.71,0.06,13.31,walk_down
178,-0.92,0.27,-0.19,59.57,-14.53,13.79,walk_down
205,-0.9,0.28,-0.19,63.42,-26.37,13.12,walk_down
231,-0.81,0.21,-0.22,48.95,-4.39,13.31,walk_down
257,-0.81,0.13,-0.25,39.12,17.27,15.38,walk_down
283,-0.86,0.09,-0.22,36.19,21.12,20.32,walk_down
309,-0.91,0.11,-0.2,48.83,17.7,23.5,walk_down
335,-0.88,-0.0,-0.2,77.09,5.55,21.18,walk_down
361,-0.93,-0.13,-0.2,73.97,1.65,32.04,walk_down
387,-0.83,-0.1,-0.13,79.96,-2.38,43.33,walk_down
413,-0.95,-0.21,0.11,157.65,-42.54,51.15,walk_down
440,-1.17,-0.34,0.28,205.32,-42.48,74.89,walk_down
466,-1.44,-0.21,0.37,227.91,0.73,91.31,walk_down
492,-1.56,0.23,0.5,213.2,34.97,107.91,walk_down
518,-1.87,0.31,0.75,91.31,21.67,104.19,walk_down
544,-0.95,0.64,-0.16,-87.34,43.82,61.4,walk_down
570,-0.63,0.53,-0.22,-35.03,-17.52,23.25,walk_down
597,-0.92,0.38,0.2,-29.91,-20.08,-10.38,walk_down
624,-0.7,0.24,0.06,-50.66,-20.02,-34.67,walk_down
651,-0.83,0.27,0.17,-71.29,-16.97,-47.06,walk_down
677,-0.94,0.28,-0.0,-80.69,-21.97,-51.7,walk_down
704,-0.69,0.01,0.09,-22.77,-55.85,-50.9,walk_down
731,-0.77,0.09,0.07,-6.29,-54.57,-40.04,walk_down
758,-0.66,0.11,0.05,11.29,-79.65,-38.82,walk_down
784,-0.6,0.21,0.04,39.25,-63.84,-35.28,walk_down
811,-0.92,0.37,0.01,22.89,-64.88,-41.63,walk_down
837,-1.17,0.19,-0.03,-15.69,-56.46,-63.05,walk_down
864,-1.11,0.01,0.01,-70.56,-27.4,-74.58,walk_down
891,-0.91,-0.02,-0.01,-116.7,-22.16,-84.78,walk_down
918,-1.0,0.11,0.02,-182.56,4.03,-74.58,walk_down
945,-1.1,-0.03,0.04,-188.9,20.51,-67.32,walk_down
972,-1.22,-0.12,-0.04,-188.23,-7.02,-65.86,walk_down
998,-1.04,-0.18,-0.08,-141.66,7.02,-54.5,walk_down
1025,-1.26,0.02,-0.15,-105.59,28.81,-17.27,walk_down
1051,-1.63,0.27,-0.34,-82.95,13.98,19.53,walk_down
1077,-1.86,0.6,-0.59,-76.11,21.79,27.83,walk_down
1103,-1.78,0.87,-1.04,-36.68,103.21,36.13,walk_down
1129,-1.43,1.03,-1.19,147.4,105.59,61.04,walk_down
1155,-1.01,0.92,-0.67,229.49,80.57,66.77,walk_down
1181,-0.48,0.64,-0.3,171.39,64.94,36.01,walk_down
1207,-0.15,0.43,-0.22,87.59,22.95,-5.62,walk_down
1233,-0.18,0.31,-0.12,48.34,-4.21,-21.0,walk_down
1259,-0.76,0.43,-0.2,6.29,4.33,1.22,walk_down
1285,-1.04,0.43,-0.28,-12.08,-5.49,-17.4,walk_down
1312,-1.25,0.23,-0.27,-51.88,-53.04,-55.54,walk_down
1339,-1.36,-0.14,-0.25,-132.51,-61.71,-68.91,walk_down
1366,-1.24,-0.16,-0.22,-191.89,-51.82,-64.94,walk_down
1392,-1.03,-0.27,-0.12,-122.68,-19.84,-63.78,walk_down
1418,-0.92,-0.34,-0.22,-66.77,15.99,-32.9,walk_down
1445,-0.81,-0.29,-0.26,-15.93,44.74,-3.3,walk_down
1472,-0.76,-0.07,-0.28,66.59,65.98,18.55,walk_down
1498,-0.67,0.05,-0.19,127.44,53.1,51.15,walk_down
1524,-0.8,0.38,-0.16,142.09,27.1,70.25,walk_down
1550,-0.89,0.31,0.01,151.06,14.83,58.29,walk_down
1576,-0.72,0.11,-0.12,59.08,16.85,42.24,walk_down
1602,-0.79,0.01,-0.1,-7.87,32.23,29.97,walk_down
1629,-1.23,-0.26,-0.06,16.3,36.8,48.1,walk_down
1655,-1.2,-0.27,0.06,126.77,28.87,60.97,walk_down
