time_ms,ax,ay,az,gx,gy,gz,label
20,-0.82,0.21,0.07,-9.52,24.23,7.93,walk_up
46,-0.9,0.22,-0.08,49.93,-12.45,23.68,walk_up
72,-1.01,0.21,-0.05,27.53,-12.82,11.35,walk_up
98,-1.05,0.15,-0.03,11.9,-5.92,5.43,walk_up
124,-1.14,0.06,-0.08,-4.27,-11.17,1.83,walk_up
150,-1.36,-0.07,-0.14,-36.32,-12.51,13.43,walk_up
177,-1.47,-0.48,-0.17,5.62,-6.35,18.92,walk_up
203,-1.64,-0.26,-0.17,17.64,-20.08,44.37,walk_up
229,-1.86,-0.41,0.2,37.11,-42.6,19.04,walk_up
255,-1.77,-0.35,0.65,-56.95,-11.6,19.47,walk_up
281,-1.59,-0.18,0.54,-152.16,52.12,41.99,walk_up
307,-1.23,-0.13,0.4,-226.44,82.95,67.57,walk_up
333,-1.17,-0.07,0.1,-260.5,97.05,61.71,walk_up
360,-1.19,0.12,0.19,-284.12,85.14,24.6,walk_up
386,-1.26,0.28,0.22,-354.68,52.86,-45.29,walk_up
413,-1.21,0.32,0.1,-374.57,16.11,-86.49,walk_up
439,-1.25,-0.1,0.56,-200.5,-2.69,-119.51,walk_up
466,-0.96,-0.57,0.06,-7.81,54.2,-123.41,walk_up
492,-0.58,-0.69,-0.03,-10.07,55.54,-86.91,walk_up
519,-0.61,-0.2,0.21,-37.05,51.82,-82.28,walk_up
546,-0.83,0.53,0.09,-33.26,27.95,-91.67,walk_up
572,-0.88,0.39,0.05,-11.6,30.64,-95.03,walk_up
598,-0.47,-0.18,-0.1,-5.43,18.19,-81.54,walk_up
624,-0.29,-0.15,0.02,-26.06,0.37,-63.72,walk_up
650,-0.28,-0.11,0.14,-11.54,-18.31,-51.21,walk_up
677,-0.31,0.05,0.18,3.6,-16.72,-40.65,walk_up
703,-0.39,0.18,0.14,6.35,-26.92,-25.09,walk_up
729,-0.27,0.34,0.12,5.0,-45.65,-4.76,walk_up
755,-0.22,0.41,0.1,2.56,-55.79,12.7,walk_up
781,-0.37,0.19,0.1,1.59,-54.75,31.8,walk_up
808,-0.53,0.0,0.16,-8.91,-64.27,58.29,walk_up
835,-0.89,0.02,0.13,-25.21,-79.28,102.17,walk_up
861,-2.34,0.49,0.27,-31.8,-78.06,107.24,walk_up
888,-3.32,1.89,-0.45,25.15,-31.98,15.44,walk_up
915,-1.09,0.27,0.59,23.25,-29.05,71.84,walk_up
941,-1.28,-0.07,0.39,52.19,-0.73,67.69,walk_up
967,-0.87,-0.33,0.1,54.63,-14.1,70.86,walk_up
994,-0.56,-0.24,0.01,69.09,-46.14,55.85,walk_up
1020,-0.51,-0.19,-0.19,60.73,-57.56,64.88,walk_up
1046,-0.67,-0.43,-0.02,21.79,-48.46,70.62,walk_up
1072,-0.83,-0.47,0.12,-5.25,-25.45,81.85,walk_up
1098,-1.01,-0.2,0.0,59.27,-13.85,46.51,walk_up
1124,-1.25,-0.15,-0.06,142.76,-10.99,34.61,walk_up
1150,-1.74,0.08,-0.24,155.15,-26.0,-1.59,walk_up
1176,-1.38,0.48,0.01,207.21,-21.85,0.85,walk_up
1202,-0.91,0.56,0.6,171.51,-55.79,25.15,walk_up
1228,-0.79,0.74,0.41,88.44,-9.34,30.4,walk_up
1254,-0.85,0.42,0.07,120.48,7.26,6.04,walk_up
1280,-0.86,0.14,-0.14,124.33,10.99,-0.79,walk_up
1307,-0.85,-0.22,-0.23,5.62,38.15,38.82,walk_up
1333,-0.76,-0.35,-0.26,-37.84,55.97,46.14,walk_up
1359,-1.15,-0.35,-0.24,-13.0,73.24,35.4,walk_up
1385,-1.62,-0.24,-0.38,-83.92,0.55,37.72,walk_up
1412,-1.41,0.26,-0.35,16.3,-52.49,15.01,walk_up
1438,-1.49,0.26,-0.17,192.02,-96.98,7.14,walk_up
1465,-1.3,-0.7,1.83,265.32,-161.5,-27.47,walk_up
1491,-1.66,0.21,0.49,-533.02,10.68,63.78,walk_up
1517,-1.56,0.24,0.83,-190.8,57.19,55.18,walk_up
1543,-1.43,-0.25,0.75,-179.02,116.21,-51.51,walk_up
1570,-1.96,-0.6,0.32,-142.21,155.94,-85.75,walk_up
1596,-1.31,-0.18,0.06,-199.83,157.1,-110.78,walk_up
1622,-1.18,-0.01,-0.06,-138.98,113.77,-146.12,walk_up
1648,-1.58,-0.12,-0.4,-226.2,41.75,-138.31,walk_up
1674,-0.81,-0.38,0.56,-211.91,18.68,-120.67,walk_up
1700,-0.56,-0.63,0.12,-45.1,47.24,-98.27,walk_up
1726,-0.39,-0.07,0.1,-59.63,31.37,-72.51,walk_up
1752,-0.69,0.58,0.19,-46.88,19.59,-87.95,walk_up
1778,-0.72,0.61,-0.07,-31.25,-8.97,-77.51,walk_up
1805,-0.41,-0.01,-0.19,4.27,-11.9,-57.74,walk_up
1832,-0.3,-0.28,-0.06,7.75,-16.05,-58.17,walk_up
1859,-0.15,-0.18,0.01,7.51,-18.19,-53.71,walk_up
1886,-0.1,0.14,0.04,6.35,-31.13,-41.87,walk_up
1913,-0.37,0.4,0.05,-6.65,-45.72,-5.74,walk_up
1939,-0.3,0.39,0.02,-5.0,-64.82,25.39,walk_up
1966,-0.36,0.29,-0.22,5.92,-78.12,58.53,walk_up
1992,-0.31,0.39,-0.2,11.72,-56.46,98.02,walk_up
2018,-1.64,0.0,0.24,26.37,-33.69,135.93,walk_up
2044,-3.85,0.91,0.5,-18.37,32.04,91.92,walk_up
2070,-1.01,1.26,-0.05,83.68,-81.85,56.76,walk_up
2097,-0.9,-0.09,0.42,128.78,-4.94,44.49,walk_up
2124,-0.83,-0.19,0.47,-24.11,-15.2,65.43,walk_up
2151,-0.87,-0.33,-0.3,14.83,-37.6,60.24,walk_up
2178,-0.59,-0.41,-0.23,79.28,-31.68,50.66,walk_up
2205,-0.76,-0.36,-0.24,14.53,-22.83,71.9,walk_up
2232,-1.01,-0.23,0.01,8.36,-29.36,77.45,walk_up
2259,-1.25,-0.21,0.0,51.88,-28.08,46.33,walk_up
2286,-1.65,-0.01,-0.13,110.41,-28.69,30.58,walk_up
2313,-1.26,0.28,-0.01,143.74,-42.72,70.43,walk_up
2340,-0.9,0.53,0.02,158.75,-34.18,77.7,walk_up
2366,-0.84,0.68,0.08,246.89,-53.77,25.94,walk_up
2393,-0.93,0.51,0.38,205.63,-14.89,11.47,walk_up
2419,-0.89,0.19,0.07,129.58,7.69,1.83,walk_up
