time_ms,ax,ay,az,gx,gy,gz,label
20,-0.71,-0.0,0.17,-18.49,39.31,3.97,walk_up
46,-0.78,0.48,0.16,-26.92,44.37,-83.07,walk_up
73,-0.67,0.57,-0.11,-45.96,26.49,-100.16,walk_up
99,-0.7,0.03,-0.07,-47.3,-0.06,-67.32,walk_up
125,-0.45,-0.02,0.2,-62.38,-8.12,-51.15,walk_up
151,-0.38,0.01,0.07,-31.8,-38.94,-54.26,walk_up
177,-0.34,0.06,0.08,-2.26,-25.63,-52.86,walk_up
203,-0.21,0.22,0.06,-1.4,-28.75,-32.78,walk_up
229,-0.21,0.35,0.08,1.34,-43.82,-4.21,walk_up
255,-0.21,0.39,0.08,2.69,-54.38,18.25,walk_up
281,-0.36,0.35,0.1,0.92,-52.19,32.35,walk_up
307,-0.38,0.3,0.16,3.91,-53.34,46.33,walk_up
333,-0.59,0.23,0.36,-15.56,-60.24,77.7,walk_up
359,-2.6,0.46,0.36,-20.32,-67.14,94.12,walk_up
385,-2.46,1.55,0.12,70.01,-30.52,13.49,walk_up
411,-0.73,0.33,0.58,73.91,-13.18,78.12,walk_up
437,-1.42,0.14,0.37,16.54,-22.34,69.7,walk_up
463,-1.32,-0.05,0.09,40.04,-36.38,71.9,walk_up
489,-0.8,-0.05,0.05,71.04,-43.46,56.27,walk_up
516,-0.67,-0.02,-0.04,43.33,-53.28,59.81,walk_up
542,-0.54,-0.17,-0.03,35.4,-55.42,67.44,walk_up
568,-0.58,-0.32,-0.05,31.68,-42.42,72.69,walk_up
594,-0.9,-0.27,-0.08,74.65,-16.66,58.35,walk_up
620,-1.12,-0.1,-0.01,131.71,-7.2,39.12,walk_up
646,-1.38,-0.08,0.04,167.66,-11.11,12.15,walk_up
672,-1.45,0.15,0.08,177.19,-14.71,34.3,walk_up
698,-1.08,0.3,0.08,175.9,-28.63,68.3,walk_up
724,-0.87,0.43,0.17,145.57,-41.5,37.54,walk_up
750,-0.85,0.61,0.13,137.33,-20.81,4.27,walk_up
776,-0.95,0.57,0.15,154.72,-15.75,-14.65,walk_up
802,-0.98,0.67,0.18,142.4,-24.23,-21.55,walk_up
828,-0.92,0.43,0.17,5.49,-34.06,-30.7,walk_up
854,-0.88,-0.38,0.01,28.44,14.83,-5.13,walk_up
880,-1.01,-0.34,-0.15,-65.73,-4.15,21.67,walk_up
907,-0.92,0.01,-0.23,-71.17,25.21,37.17,walk_up
934,-0.95,-0.06,-0.23,-7.26,4.52,30.46,walk_up
