time_ms,ax,ay,az,gx,gy,gz,label
20,-1.23,-0.47,0.13,-18.37,36.68,4.27,walk_up
46,-1.1,-0.39,0.14,-30.58,-16.48,-61.4,walk_up
72,-1.13,-0.3,0.06,-58.72,-16.85,-76.9,walk_up
98,-1.07,-0.25,-0.18,-58.9,-30.82,-85.51,walk_up
125,-0.86,-0.17,-0.22,-52.98,-35.89,-83.25,walk_up
152,-0.76,0.09,-0.08,-31.49,-41.81,-74.4,walk_up
178,-0.88,0.19,-0.05,-5.0,-47.91,-66.22,walk_up
204,-0.94,0.05,-0.07,20.87,-53.65,-60.12,walk_up
230,-1.03,0.14,-0.03,32.35,-40.83,-53.71,walk_up
256,-1.1,0.18,-0.04,34.48,-38.27,-54.26,walk_up
282,-1.08,0.23,-0.11,23.74,-29.91,-54.26,walk_up
308,-0.99,0.25,-0.13,7.14,-28.63,-57.56,walk_up
334,-0.85,0.22,-0.11,-1.83,-31.68,-60.55,walk_up
361,-0.74,0.12,-0.05,-18.86,-27.16,-61.65,walk_up
387,-0.68,0.04,0.01,-40.71,-26.92,-57.62,walk_up
413,-0.59,-0.06,0.0,-69.82,-13.12,-45.41,walk_up
439,-0.89,-0.12,-0.11,-83.74,-14.65,-40.83,walk_up
466,-1.1,-0.25,-0.26,-102.05,-5.62,-51.09,walk_up
493,-1.34,-0.26,-0.37,-152.89,-3.05,-109.01,walk_up
520,-1.24,-0.98,-0.71,-156.98,-35.46,-72.69,walk_up
547,-1.02,-0.46,-0.53,-93.32,-75.62,-27.47,walk_up
574,-0.94,-0.03,-0.3,-14.47,-58.11,1.83,walk_up
601,-1.05,0.22,-0.51,21.12,-41.26,12.08,walk_up
627,-0.98,0.27,-0.43,75.38,0.12,27.22,walk_up
653,-0.79,0.29,-0.3,31.68,22.52,22.58,walk_up
679,-0.78,0.46,-0.26,-21.67,32.78,23.62,walk_up
706,-0.86,0.51,-0.17,25.15,42.48,45.65,walk_up
732,-1.0,0.47,-0.16,76.48,25.82,38.88,walk_up
759,-1.11,0.37,-0.27,37.6,7.87,16.42,walk_up
786,-1.36,0.36,-0.42,-30.76,3.36,-9.95,walk_up
813,-1.66,0.31,-0.52,-32.59,-15.2,-41.44,walk_up
841,-1.53,0.13,-0.58,-29.05,-28.08,-68.97,walk_up
868,-1.17,0.01,-0.62,-33.63,-32.71,-80.14,walk_up
895,-1.24,-0.0,-0.63,-29.24,-31.13,-61.58,walk_up
922,-1.48,0.07,-0.42,8.18,1.04,-21.42,walk_up
949,-1.58,0.44,-0.37,-15.87,69.15,-7.63,walk_up
975,-1.26,0.6,-0.02,147.64,91.55,-11.05,walk_up
1001,-0.7,-0.08,-0.0,349.91,69.21,1.95,walk_up
1027,-0.62,-0.26,0.12,123.11,-4.33,49.07,walk_up
1054,-1.08,-1.26,0.1,133.36,-1.46,114.87,walk_up
1081,-1.88,-0.65,0.02,245.54,22.64,204.22,walk_up
1107,-1.47,0.9,0.56,337.34,26.55,153.08,walk_up
1134,-0.88,0.85,0.42,-27.34,64.21,143.68,walk_up
1161,-1.02,0.47,-0.23,-74.1,58.59,153.81,walk_up
1187,-0.97,-0.29,-0.31,-1.65,9.03,135.5,walk_up
1214,-1.01,-0.54,-0.11,27.77,13.18,130.62,walk_up
1240,-1.19,0.16,-0.07,39.37,26.73,100.83,walk_up
1266,-0.38,0.71,-0.24,28.5,30.15,95.83,walk_up
1292,0.14,0.31,0.44,79.83,6.96,81.6,walk_up
1319,-0.39,-0.12,0.3,69.09,-4.46,48.77,walk_up
1345,-0.28,-0.42,-0.09,-3.97,-61.58,17.7,walk_up
1371,-0.34,-0.46,-0.29,-33.33,-55.18,-10.5,walk_up
1397,-0.33,-0.39,-0.15,-33.2,-49.68,-58.41,walk_up
1423,-0.26,-0.58,-0.19,-62.87,-18.31,-95.89,walk_up
1450,-0.8,-0.05,0.82,-47.91,18.86,-134.28,walk_up
1476,-4.0,0.06,-0.88,36.38,-50.9,-122.25,walk_up
1502,-1.67,-0.66,-0.41,-250.31,-34.3,-31.8,walk_up
1528,-0.32,-0.48,0.37,14.47,-49.44,-91.0,walk_up
1554,-1.16,0.58,0.46,-8.18,22.03,-65.86,walk_up
1580,-0.75,0.32,0.03,-26.49,11.23,-56.15,walk_up
1606,-0.77,0.28,-0.56,-142.27,5.98,-31.25,walk_up
1633,-0.47,0.39,-0.53,-23.38,-18.55,-42.72,walk_up
1660,-0.86,0.49,-0.26,66.83,-59.75,-42.48,walk_up
1686,-1.28,0.49,-0.08,31.8,-81.6,-49.74,walk_up
1713,-1.26,0.28,-0.04,-49.32,-71.41,-68.3,walk_up
1740,-1.32,0.12,0.03,-95.46,-34.85,-79.77,walk_up
1766,-1.2,-0.06,-0.01,-102.11,-16.11,-89.97,walk_up
1793,-0.79,-0.19,-0.1,-124.76,-15.5,-80.51,walk_up
1822,-0.84,-0.22,-0.07,-131.47,-21.18,-78.25,walk_up
1852,-0.84,-0.42,-0.05,-142.58,-0.31,-65.49,walk_up
1882,-0.99,-0.43,-0.13,-194.27,20.2,-55.36,walk_up
1910,-1.13,-0.52,-0.25,-177.86,9.7,-23.86,walk_up
1938,-1.05,0.0,-0.49,-34.79,1.16,-3.78,walk_up
1966,-0.94,0.2,-0.4,113.04,33.2,1.53,walk_up
1994,-0.91,0.36,-0.4,51.03,45.1,0.85,walk_up
