time_ms,ax,ay,az,gx,gy,gz,label
20,-1.06,-0.15,0.19,-15.14,35.22,4.09,walking
47,-1.03,-0.23,0.33,57.62,-58.23,-64.03,walking
74,-0.78,-0.03,1.08,83.8,-86.91,-90.27,walking
101,-1.13,-0.15,0.85,-60.36,51.64,-115.05,walking
127,-1.15,-0.28,0.0,-117.13,95.09,-137.88,walking
154,-1.34,-0.63,0.15,-97.05,55.42,-158.02,walking
180,-1.0,-1.13,0.05,-123.41,-17.4,-109.44,walking
207,-0.72,-0.57,0.1,-44.07,-85.51,-18.68,walking
233,-0.55,-0.43,0.29,61.22,-34.73,5.43,walking
260,-0.77,-0.03,-0.01,114.26,-29.42,24.9,walking
287,-0.82,0.13,0.23,126.46,-55.24,20.2,walking
314,-0.75,0.14,0.57,73.06,-56.15,11.78,walking
341,-0.88,0.1,0.26,31.31,-0.12,1.16,walking
368,-0.85,0.13,0.09,53.22,4.03,-2.81,walking
396,-0.83,-0.05,0.12,25.51,-15.63,-8.24,walking
423,-0.86,0.03,0.11,19.17,-29.17,-5.55,walking
449,-0.91,-0.01,0.05,21.42,-30.4,-11.66,walking
475,-1.07,0.11,0.02,-13.12,-49.8,-12.45,walking
502,-1.3,0.3,0.38,-19.47,-51.57,-11.11,walking
529,-1.33,0.15,0.26,17.09,-12.76,-7.87,walking
558,-1.07,0.09,0.22,32.53,-0.49,5.13,walking
586,-0.99,0.18,0.2,35.22,4.7,19.1,walking
615,-1.31,0.03,0.07,47.61,-5.19,21.48,walking
644,-2.12,-0.19,0.15,7.93,-34.79,29.6,walking
673,-1.22,0.05,0.16,6.16,-7.14,18.31,walking
702,-0.66,-0.42,0.16,14.53,4.82,-2.62,walking
732,-0.45,-0.81,0.15,-58.23,14.22,10.19,walking
761,-0.59,-0.73,-0.09,-95.95,11.72,44.43,walking
790,-0.76,-0.51,-0.1,-132.39,-5.74,52.19,walking
817,-0.9,-0.46,-0.02,-114.38,5.19,52.37,walking
844,-1.13,-0.46,-0.02,-80.44,17.03,62.68,walking
870,-1.22,-0.36,-0.06,-48.71,34.97,67.32,walking
896,-0.98,-0.2,-0.23,-32.96,47.73,70.01,walking
922,-0.9,-0.09,-0.29,8.61,43.58,51.03,walking
948,-1.1,-0.17,-0.2,25.02,36.07,30.58,walking
974,-1.07,-0.11,-0.25,20.51,17.4,14.83,walking
1000,-1.05,-0.2,-0.17,16.17,-1.34,9.4,walking
1026,-1.07,-0.3,-0.13,-42.48,-13.92,13.43,walking
1052,-1.07,-0.32,-0.04,-72.81,-24.72,19.78,walking
1078,-1.11,-0.39,0.04,-84.41,-18.74,33.14,walking
1104,-0.99,-0.41,0.08,-67.99,-19.1,45.35,walking
1130,-0.97,-0.41,0.1,-45.65,-18.98,38.82,walking
1156,-1.04,-0.39,0.13,-23.86,0.43,33.75,walking
1182,-0.87,-0.24,0.03,-15.87,35.34,33.87,walking
1208,-0.82,-0.24,-0.07,15.14,65.06,30.21,walking
1234,-1.03,-0.35,-0.06,44.07,46.88,15.81,walking
1260,-1.06,-0.22,-0.09,27.71,34.36,15.01,walking
1286,-1.11,-0.14,-0.17,41.2,43.52,7.02,walking
1312,-1.2,-0.09,-0.11,80.75,50.6,1.34,walking
1338,-1.26,-0.07,-0.04,97.66,56.21,-8.0,walking
1364,-1.28,-0.11,0.06,91.8,48.46,-42.36,walking
1390,-1.29,-0.29,0.24,59.51,-22.71,-89.54,walking
1416,-0.91,-0.29,0.53,26.79,-124.76,-106.93,walking
1442,-1.25,-0.37,2.17,44.62,-88.38,-131.59,walking
1468,-1.01,-0.29,0.19,-122.31,121.89,-122.99,walking
1494,-1.2,-0.52,-0.03,-170.47,50.6,-136.6,walking
1520,-1.21,-1.04,-0.33,-148.74,-9.7,-112.79,walking
1550,-0.65,-0.54,0.14,-44.01,-66.28,-26.31,walking
1578,-0.58,-0.36,0.28,86.67,-44.68,1.89,walking
1607,-0.73,0.0,0.1,111.94,-44.13,19.17,walking
1636,-0.83,0.1,0.26,110.41,-56.88,7.14,walking
1664,-0.87,0.2,0.3,61.28,-27.28,-4.64,walking
1693,-0.8,0.11,0.05,54.02,-13.98,-4.21,walking
1722,-0.64,-0.12,0.25,46.14,-13.31,15.26,walking
1750,-0.83,-0.1,0.15,34.0,-23.25,6.53,walking
1778,-0.95,-0.09,0.16,32.71,-28.75,2.75,walking
1806,-1.4,0.24,0.13,2.14,-40.28,-10.74,walking
1835,-1.68,0.53,0.19,-27.4,-60.97,-35.46,walking
1863,-1.31,0.21,0.41,3.54,-1.28,-37.17,walking
1892,-0.82,-0.17,0.16,12.08,9.64,-14.89,walking
1921,-1.01,-0.13,0.08,5.25,-24.05,13.31,walking
1950,-1.71,0.01,-0.03,12.63,-28.32,44.49,walking
1979,-1.33,0.06,0.15,49.74,-12.33,28.44,walking
2008,-0.91,-0.27,0.06,18.62,15.5,17.76,walking
2037,-0.56,-0.52,0.11,-65.61,9.09,21.3,walking
2064,-0.56,-0.62,-0.1,-83.92,19.47,23.68,walking
2091,-0.66,-0.6,-0.17,-104.06,14.71,39.86,walking
2118,-0.83,-0.54,-0.07,-84.23,18.43,46.51,walking
2144,-1.03,-0.52,-0.03,-66.22,29.11,53.28,walking
2172,-1.19,-0.45,-0.05,-39.49,44.49,56.15,walking
2199,-1.05,-0.37,-0.18,-31.19,35.28,56.15,walking
2225,-0.97,-0.26,-0.16,-52.61,16.66,47.06,walking
2251,-1.0,-0.27,-0.14,-90.03,2.38,45.59,walking
2277,-1.07,-0.18,-0.21,-81.85,-2.01,33.08,walking
2304,-0.97,-0.13,-0.22,-37.41,-8.24,25.82,walking
2332,-1.03,-0.22,-0.12,-16.66,-5.0,22.83,walking
2359,-1.13,-0.34,-0.07,-50.29,-2.14,28.75,walking
2385,-1.09,-0.39,0.03,-52.06,-12.82,37.29,walking
2411,-1.02,-0.39,0.09,-22.71,-16.17,36.62,walking
2437,-0.99,-0.4,0.12,5.8,-8.24,26.61,walking
2463,-0.91,-0.4,0.12,-30.58,1.46,25.21,walking
2489,-0.92,-0.26,-0.02,-39.55,29.91,24.9,walking
2515,-0.94,-0.29,-0.09,8.73,38.39,18.31,walking
2541,-0.96,-0.27,-0.16,11.6,32.78,23.38,walking
2570,-1.19,-0.27,-0.15,39.12,30.64,18.62,walking
2599,-1.22,-0.25,-0.09,56.82,33.75,17.52,walking
2628,-1.22,-0.16,-0.12,48.71,39.67,12.88,walking
2656,-1.26,-0.1,-0.09,50.35,50.29,3.42,walking
2685,-1.06,-0.03,-0.01,58.11,47.3,-20.45,walking
2714,-1.03,-0.05,0.17,74.83,-14.28,-61.77,walking
2743,-0.98,0.08,0.6,154.79,-91.49,-110.05,walking
2772,-1.09,-0.16,0.69,-80.02,59.57,-146.0,walking
2801,-1.29,-0.3,0.0,-108.89,83.01,-165.83,walking
2828,-1.52,-0.76,-0.04,-100.04,32.59,-174.93,walking
2856,-0.93,-1.29,-0.17,-156.68,-19.65,-101.99,walking
2885,-0.56,-0.47,0.1,76.35,-45.17,-23.86,walking
2913,-0.66,-0.2,0.01,166.93,-32.47,5.8,walking
2942,-0.72,0.11,0.25,133.73,-66.28,17.33,walking
2970,-0.78,0.14,0.35,65.55,-22.95,0.06,walking
2999,-0.8,0.19,-0.05,70.43,-8.61,1.22,walking
3028,-0.6,-0.09,0.15,65.37,-7.57,2.81,walking
3057,-0.74,-0.13,0.02,53.47,-19.9,16.3,walking
3085,-0.89,-0.08,0.07,39.79,-39.37,26.31,walking
3111,-1.1,-0.06,0.16,47.06,-45.47,21.3,walking
3138,-1.57,0.26,0.2,30.88,-42.91,10.38,walking
3166,-1.84,0.86,0.2,11.05,-50.42,-16.66,walking
3194,-1.48,0.3,0.41,37.41,9.16,-36.44,walking
3222,-0.89,-0.1,0.14,49.62,27.34,-18.25,walking
3251,-0.87,-0.29,-0.09,44.68,-12.39,7.87,walking
3279,-1.51,-0.55,0.02,28.93,-38.64,35.58,walking
3307,-1.51,-0.23,0.31,25.27,-10.62,42.3,walking
3336,-0.8,-0.38,0.04,1.89,9.22,33.51,walking
3364,-0.59,-0.46,0.11,-83.44,2.38,36.13,walking
3393,-0.5,-0.59,-0.09,-65.31,13.06,36.07,walking
3420,-0.48,-0.54,-0.17,-109.37,18.62,50.29,walking
3446,-0.64,-0.45,-0.13,-94.79,18.25,49.26,walking
3473,-1.16,-0.5,-0.1,-45.53,29.48,53.47,walking
3499,-1.27,-0.5,-0.11,-2.56,52.73,50.29,walking
3525,-1.0,-0.35,-0.21,-10.01,48.34,49.19,walking
3551,-1.02,-0.26,-0.2,-25.15,25.21,43.4,walking
3577,-1.16,-0.18,-0.19,-27.65,5.55,37.72,walking
3603,-1.03,-0.1,-0.24,-23.93,11.66,31.25,walking
3629,-0.97,-0.13,-0.16,-16.36,-1.71,22.09,walking
3655,-1.0,-0.28,0.0,-46.08,-8.0,23.01,walking
3681,-1.05,-0.36,0.03,-66.22,-11.54,27.1,walking
3707,-1.03,-0.4,0.07,-37.72,-9.09,28.87,walking
3733,-1.01,-0.48,0.13,7.63,-1.65,21.18,walking
3759,-0.86,-0.5,0.11,-5.74,14.4,14.34,walking
3785,-0.81,-0.33,-0.01,-43.52,27.4,16.6,walking
3814,-0.86,-0.32,-0.06,-17.27,44.43,12.27,walking
3843,-0.94,-0.46,-0.07,32.35,44.68,6.29,walking
3871,-1.11,-0.31,-0.1,47.49,35.77,7.14,walking
3900,-1.26,-0.19,-0.09,82.52,49.44,6.35,walking
