time_ms,ax,ay,az,gx,gy,gz,label
20,-1.15,-0.28,0.06,-21.3,38.02,7.26,walking
46,-1.12,-0.19,0.14,-25.7,-16.72,-3.17,walking
72,-1.11,-0.12,0.11,-27.1,-1.28,-0.73,walking
98,-1.07,-0.08,0.13,-8.3,-0.85,-0.43,walking
124,-0.99,-0.03,0.16,5.07,-1.34,-3.66,walking
150,-0.9,0.13,-0.02,-10.5,-2.14,-7.93,walking
176,-1.42,0.15,-0.03,-21.42,-41.75,-11.72,walking
202,-1.63,-0.05,0.1,-49.32,-34.0,-9.16,walking
228,-1.3,-0.21,-0.04,-58.04,-22.58,-4.64,walking
254,-1.03,0.19,-0.04,-23.74,-11.29,-5.92,walking
280,-0.91,0.36,-0.01,1.04,0.92,-15.26,walking
306,-0.84,0.23,-0.07,-28.93,4.27,-29.42,walking
333,-0.8,0.26,-0.09,-82.09,16.72,-28.87,walking
359,-0.78,0.26,-0.14,-64.88,25.21,-29.48,walking
385,-0.91,0.2,-0.18,-50.17,45.96,-23.86,walking
411,-1.07,0.16,-0.28,-85.63,42.18,-35.77,walking
437,-1.02,0.12,-0.5,-76.66,-2.2,-42.91,walking
464,-0.85,-0.0,-0.34,-37.23,-20.14,-51.94,walking
491,-0.92,-0.01,-0.32,-20.75,-13.73,-43.76,walking
518,-1.01,-0.08,-0.32,-23.8,-14.04,-29.11,walking
544,-0.99,-0.11,-0.3,-17.33,-6.47,-15.14,walking
571,-1.09,-0.05,-0.27,-10.25,-25.45,-6.9,walking
597,-1.13,-0.08,-0.3,-13.61,-35.58,-12.02,walking
624,-1.11,-0.1,-0.22,-44.43,-38.21,-15.2,walking
650,-1.16,-0.07,-0.2,-78.49,-38.64,-23.86,walking
677,-1.12,0.05,-0.2,-77.03,-70.56,-14.59,walking
703,-1.02,0.08,-0.24,-60.12,-39.12,-10.8,walking
729,-0.92,0.07,-0.28,-20.94,-9.46,-13.18,walking
755,-0.78,-0.05,-0.22,30.94,-18.49,-23.93,walking
781,-0.8,-0.14,-0.2,53.22,-8.3,-28.87,walking
807,-0.91,-0.17,-0.19,34.18,5.07,-29.66,walking
833,-1.13,-0.11,-0.26,-12.33,16.91,-16.05,walking
859,-1.24,-0.15,-0.25,-32.9,22.89,-6.59,walking
885,-1.26,-0.23,-0.11,-71.04,18.55,-4.94,walking
911,-1.44,-0.16,-0.09,-120.0,19.53,6.96,walking
937,-1.57,0.11,-0.1,-113.83,32.41,38.02,walking
963,-1.18,1.1,0.24,50.66,86.49,-9.34,walking
989,-0.82,0.2,0.21,182.8,124.15,-43.88,walking
1015,-0.82,0.06,0.14,68.85,129.15,18.92,walking
1041,-1.23,0.41,-0.06,28.56,133.73,76.35,walking
1067,-1.37,0.69,-0.4,48.65,143.37,82.28,walking
1093,-1.11,0.69,-0.81,131.04,100.89,50.66,walking
1119,-0.7,0.26,-0.34,232.79,-20.45,24.48,walking
1145,-0.58,0.12,-0.05,193.18,-73.36,21.3,walking
1171,-0.69,-0.05,0.19,201.9,-96.44,25.33,walking
1197,-0.93,-0.18,0.27,161.62,-78.67,64.88,walking
1223,-0.91,-0.24,0.33,24.9,-52.8,-2.69,walking
1249,-0.77,-0.15,0.19,-18.31,-54.93,2.44,walking
1275,-0.73,0.05,0.15,-28.26,-48.83,-1.83,walking
1301,-0.75,0.18,0.2,-15.87,-29.48,-11.23,walking
1327,-1.01,-0.03,0.2,-3.91,-23.56,-16.85,walking
1353,-1.18,-0.32,0.08,-1.71,-13.0,-10.86,walking
1379,-1.29,-0.51,-0.05,8.48,-29.6,9.77,walking
1405,-1.49,-0.74,-0.02,70.19,-37.9,38.51,walking
1431,-1.43,0.04,0.26,94.97,-36.8,31.19,walking
1457,-1.37,0.24,0.47,42.3,-15.99,24.11,walking
1483,-1.58,0.08,0.26,-31.07,9.52,8.3,walking
1509,-1.12,0.26,-0.13,-99.06,11.54,-18.98,walking
1535,-0.86,0.33,-0.13,-102.42,-9.22,-15.32,walking
1561,-0.87,0.44,-0.1,-74.58,-22.4,-10.8,walking
1587,-0.82,0.35,-0.19,-40.41,2.99,-24.66,walking
1613,-0.81,0.28,-0.29,-29.42,30.82,-36.5,walking
1639,-0.75,0.16,-0.26,-41.26,41.87,-40.47,walking
1665,-0.89,0.22,-0.25,-63.96,28.93,-44.07,walking
1691,-1.04,0.14,-0.31,-62.74,11.05,-55.79,walking
1717,-0.85,0.08,-0.5,-49.01,-17.09,-68.91,walking
1743,-0.82,0.03,-0.34,-16.42,4.27,-48.58,walking
