source_file,true,windows,correct,accuracy
laying/30s - l - 1.txt,LAYING,22,22,1.0
laying/30s - r - 1.txt,LAYING,22,22,1.0
sitting/30s - l - 1.txt,SITTING,22,0,0.0
sitting/30s - r - 1.txt,SITTING,22,0,0.0
standing/30s - l - 1.txt,STANDING,22,0,0.0
standing/30s - r - 1.txt,STANDING,22,0,0.0
walk_down/5s - l - 1.txt,WALKING_DOWNSTAIRS,3,0,0.0
walk_down/5s - l - 2.txt,WALKING_DOWNSTAIRS,3,0,0.0
walk_down/5s - l - 3.txt,WALKING_DOWNSTAIRS,3,0,0.0
walk_down/5s - l - 5.txt,WALKING_DOWNSTAIRS,3,0,0.0
walk_down/5s - r - 1.txt,WALKING_DOWNSTAIRS,3,0,0.0
walk_down/5s - r - 2.txt,WALKING_DOWNSTAIRS,3,0,0.0
walk_down/5s - r - 3.txt,WALKING_DOWNSTAIRS,3,0,0.0
walk_down/5s - r - 4.txt,WALKING_DOWNSTAIRS,3,0,0.0
walk_down/5s - r - 5.txt,WALKING_DOWNSTAIRS,6,0,0.0
walk_up/5s - l - 1.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - l - 2.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - l - 3.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - l - 4.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - l - 5.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - r - 1.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - r - 2.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - r - 3.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - r - 4.txt,WALKING_UPSTAIRS,3,0,0.0
walk_up/5s - r - 5.txt,WALKING_UPSTAIRS,3,0,0.0
walking/30s - l - 1.txt,WALKING,22,0,0.0
walking/30s - r - 1.txt,WALKING,22,0,0.0
