run_name,experiment,split,accuracy,macro_f1,weighted_f1,model_size_bytes,precision_walking,recall_walking,f1_walking,precision_walking_upstairs,recall_walking_upstairs,f1_walking_upstairs,precision_walking_downstairs,recall_walking_downstairs,f1_walking_downstairs,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_laying,recall_laying,f1_laying
m3_v2_1_uci_only_baseline_int8,uci_only_baseline_v2_1_eval,uci_test,0.9032914828639295,0.9024800475879928,0.903030020485141,10288,0.9713701431492843,0.9576612903225806,0.9644670050761421,0.9213250517598344,0.9447983014861996,0.9329140461215933,0.8971291866028708,0.8928571428571429,0.8949880668257757,0.8443935926773455,0.7515274949083504,0.7952586206896551,0.7918088737201365,0.8721804511278195,0.8300536672629696,1.0,0.994413407821229,0.9971988795518207
m3_v2_1_uci_only_baseline_int8,uci_only_baseline_v2_1_eval,arduino_v2_grouped,0.21359223300970873,0.058666666666666666,0.07518446601941747,10288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21359223300970873,1.0,0.352
m3_v2_1_uci_only_baseline_int8,uci_only_baseline_v2_1_eval,right_60s,0.1875,0.05263157894736842,0.05921052631578947,10288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,1.0,0.3157894736842105
m3_v2_1_uci_only_baseline_int8,uci_only_baseline_v2_1_eval,left_30s,0.19130434782608696,0.0535279805352798,0.06144081244049508,10288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19130434782608696,1.0,0.32116788321167883
m3_v2_1_arduino_only_int8,arduino_only_v2_1,uci_test,0.19545300305395316,0.10822505286133279,0.11103932415168488,10288,0.0,0.0,0.0,0.19422680412371135,1.0,0.32527624309392267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9459459459459459,0.19553072625698323,0.32407407407407407
m3_v2_1_arduino_only_int8,arduino_only_v2_1,arduino_v2_grouped,0.5436893203883495,0.4686373873873874,0.43537785358173703,10288,0.5238095238095238,1.0,0.6875,0.6666666666666666,1.0,0.8,0.21428571428571427,0.6666666666666666,0.32432432432432434,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
m3_v2_1_arduino_only_int8,arduino_only_v2_1,right_60s,0.8208333333333333,0.8049832966985108,0.7892371611667771,10288,0.9183673469387755,1.0,0.9574468085106383,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.17777777777777778,0.3018867924528302,1.0,1.0,1.0,0.5487804878048781,1.0,0.7086614173228346
m3_v2_1_arduino_only_int8,arduino_only_v2_1,left_30s,0.5391304347826087,0.5093795093795094,0.4795407491059665,10288,0.40425531914893614,1.0,0.5757575757575758,0.8333333333333334,1.0,0.9090909090909091,1.0,0.4,0.5714285714285714,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
m3_v2_1_uci_pretrain_finetune_int8,uci_pretrain_v2_1_finetune,uci_test,0.517814726840855,0.46300706934259006,0.44925127351138106,10288,0.6952247191011236,0.9979838709677419,0.8195364238410596,0.9722222222222222,0.07430997876857749,0.13806706114398423,0.984984984984985,0.780952380952381,0.8711819389110226,0.2908767772511848,1.0,0.4506654428636989,0.9943820224719101,0.33270676691729323,0.49859154929577465,0.0,0.0,0.0
m3_v2_1_uci_pretrain_finetune_int8,uci_pretrain_v2_1_finetune,arduino_v2_grouped,0.4174757281553398,0.1986111111111111,0.2545307443365696,10288,0.3620689655172414,0.9545454545454546,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
