session,person,uci_class,files,rows_valid,duration_seconds,windows_128_stride64
session_01_1person_allclass_30s,person_A,LAYING,2,3036,59.953,44
session_01_1person_allclass_30s,person_A,SITTING,2,3037,59.944,44
session_01_1person_allclass_30s,person_A,STANDING,2,3037,59.932,44
session_01_1person_allclass_30s,person_A,WALKING,2,3036,59.935,44
session_01_1person_allclass_30s,person_A,WALKING_DOWNSTAIRS,9,2728,53.725,27
session_01_1person_allclass_30s,person_A,WALKING_UPSTAIRS,10,3031,59.691,30
session_03_1person_4class_5min,person_A,LAYING,1,15196,299.964,236
session_03_1person_4class_5min,person_A,SITTING,1,15184,299.974,236
session_03_1person_4class_5min,person_A,STANDING,1,15190,299.97,236
session_03_1person_4class_5min,person_A,WALKING,1,15189,299.976,236
session_04_2person_allclass_mixed_duration,person_A,LAYING,2,30366,599.9490000000001,472
session_04_2person_allclass_mixed_duration,person_A,SITTING,4,24280,479.879,374
session_04_2person_allclass_mixed_duration,person_A,STANDING,3,21254,419.909,328
session_04_2person_allclass_mixed_duration,person_A,WALKING,2,18201,359.949,282
session_04_2person_allclass_mixed_duration,person_A,WALKING_DOWNSTAIRS,8,5277,105.38,70
session_04_2person_allclass_mixed_duration,person_A,WALKING_UPSTAIRS,8,6662,133.08,91
session_04_2person_allclass_mixed_duration,person_B,LAYING,2,18220,359.938,282
session_04_2person_allclass_mixed_duration,person_B,SITTING,2,18215,359.95000000000005,282
session_04_2person_allclass_mixed_duration,person_B,STANDING,2,18223,359.932,282
session_04_2person_allclass_mixed_duration,person_B,WALKING,2,18220,359.94100000000003,282
session_04_2person_allclass_mixed_duration,person_B,WALKING_DOWNSTAIRS,9,8456,168.94,118
session_04_2person_allclass_mixed_duration,person_B,WALKING_UPSTAIRS,9,9136,182.54,130
